userId,gender,age,occupation,zipCode,age_group
24,Female,25,7,10023,Young (21-40 years)
32,Female,25,0,19355,Young (21-40 years)
81,Female,25,0,60640,Young (21-40 years)
86,Female,1,10,54467,Teenager (0-20 years)
95,Male,45,0,98201,Adult (41-60 years)
159,Female,45,0,37922,Adult (41-60 years)
170,Male,25,11,07002,Young (21-40 years)
224,Female,18,4,14850,Teenager (0-20 years)
231,Male,25,3,55455,Young (21-40 years)
236,Male,25,5,55126,Young (21-40 years)
257,Male,18,18,55113,Teenager (0-20 years)
311,Male,18,4,31201,Teenager (0-20 years)
322,Male,56,17,55117,Adult (41-60 years)
326,Male,50,11,25302,Adult (41-60 years)
397,Male,35,17,22124,Young (21-40 years)
405,Male,56,1,13077,Adult (41-60 years)
443,Male,25,3,55421,Young (21-40 years)
470,Female,1,10,55068,Teenager (0-20 years)
474,Male,25,17,92126,Young (21-40 years)
511,Female,45,4,15232,Adult (41-60 years)
550,Male,45,8,21559,Adult (41-60 years)
559,Female,25,7,60422,Young (21-40 years)
571,Male,50,5,95401,Adult (41-60 years)
605,Female,18,4,44425,Teenager (0-20 years)
610,Male,25,4,77025,Young (21-40 years)
631,Male,35,17,28601,Young (21-40 years)
716,Male,18,4,98188,Teenager (0-20 years)
752,Female,25,3,97401,Young (21-40 years)
793,Female,35,14,37043,Young (21-40 years)
800,Female,35,12,72032,Young (21-40 years)
817,Male,18,4,41076,Teenager (0-20 years)
872,Male,50,1,20815,Adult (41-60 years)
886,Female,56,0,14830,Adult (41-60 years)
934,Female,35,7,97401,Young (21-40 years)
972,Male,45,1,02138,Adult (41-60 years)
1004,Male,25,3,95136,Young (21-40 years)
1082,Male,45,7,48170,Adult (41-60 years)
1177,Female,25,17,01453,Young (21-40 years)
1179,Male,50,1,91030,Adult (41-60 years)
1203,Female,25,1,06417,Young (21-40 years)
1270,Male,25,6,12230,Young (21-40 years)
1319,Female,25,3,98626,Young (21-40 years)
1462,Male,35,16,95405,Young (21-40 years)
1465,Male,50,16,93003,Adult (41-60 years)
1494,Male,25,17,38104,Young (21-40 years)
1562,Male,18,20,43611,Teenager (0-20 years)
1592,Male,35,7,50111,Young (21-40 years)
1598,Male,35,13,76548,Young (21-40 years)
1666,Male,25,14,15241,Young (21-40 years)
1672,Male,25,17,93933,Young (21-40 years)
1714,Male,25,17,43212,Young (21-40 years)
1722,Male,35,0,72058,Young (21-40 years)
1761,Male,35,0,72058,Young (21-40 years)
1799,Male,35,11,70118,Young (21-40 years)
1856,Male,56,7,92065,Adult (41-60 years)
1879,Male,25,4,29732,Young (21-40 years)
1889,Male,18,14,80023,Teenager (0-20 years)
1890,Male,50,6,94702,Adult (41-60 years)
1986,Male,50,13,91977,Adult (41-60 years)
2044,Female,45,0,49408,Adult (41-60 years)
2098,Male,35,20,48067,Young (21-40 years)
2101,Male,25,16,48309,Young (21-40 years)
2104,Male,45,15,60035,Adult (41-60 years)
2138,Female,18,4,88119,Teenager (0-20 years)
2139,Female,50,3,33615,Adult (41-60 years)
2156,Male,18,19,55912,Teenager (0-20 years)
2208,Male,25,0,10006,Young (21-40 years)
2234,Male,56,1,85718,Adult (41-60 years)
2266,Female,50,2,48118,Adult (41-60 years)
2359,Male,56,13,13685,Adult (41-60 years)
2552,Female,25,9,29369,Young (21-40 years)
2570,Female,56,14,95005,Adult (41-60 years)
2633,Female,35,9,07728,Young (21-40 years)
2660,Male,56,17,28704,Adult (41-60 years)
2675,Male,35,18,98664,Young (21-40 years)
2702,Male,45,6,65201,Adult (41-60 years)
2768,Male,25,17,90210,Young (21-40 years)
2786,Male,25,4,60201,Young (21-40 years)
2810,Female,1,10,64093,Teenager (0-20 years)
2880,Male,18,12,55405,Teenager (0-20 years)
2886,Male,18,4,60073,Teenager (0-20 years)
2895,Male,25,11,07039,Young (21-40 years)
3003,Male,18,15,94606,Teenager (0-20 years)
3040,Male,25,8,22046,Young (21-40 years)
3086,Male,18,12,98105,Teenager (0-20 years)
3142,Male,25,20,85719,Young (21-40 years)
3144,Female,25,7,85260,Young (21-40 years)
3166,Male,18,4,32607,Teenager (0-20 years)
3172,Male,18,12,55408,Teenager (0-20 years)
3177,Female,25,6,94132,Young (21-40 years)
3187,Male,35,12,32935,Young (21-40 years)
3208,Male,25,14,30342,Young (21-40 years)
3216,Male,35,1,54481,Young (21-40 years)
3227,Female,25,14,60657,Young (21-40 years)
3286,Female,35,7,80013,Young (21-40 years)
3287,Male,56,13,27514-3540,Adult (41-60 years)
3334,Male,35,0,09142,Young (21-40 years)
3339,Male,25,17,44118,Young (21-40 years)
3402,Male,35,20,30306,Young (21-40 years)
3423,Male,25,7,84088,Young (21-40 years)
3512,Male,18,17,02140,Teenager (0-20 years)
3564,Male,25,11,02169,Young (21-40 years)
3617,Male,35,7,49034,Young (21-40 years)
3688,Male,18,6,21202,Teenager (0-20 years)
3724,Male,35,6,77083,Young (21-40 years)
3732,Male,25,17,60153,Young (21-40 years)
3780,Male,1,0,46979,Teenager (0-20 years)
3847,Male,25,7,12801,Young (21-40 years)
3858,Female,45,9,63119,Adult (41-60 years)
3888,Male,45,17,02067,Adult (41-60 years)
3943,Female,35,7,98074,Young (21-40 years)
3960,Female,35,14,55014,Young (21-40 years)
3968,Male,25,2,02903,Young (21-40 years)
3994,Male,50,7,43081,Adult (41-60 years)
4033,Male,25,6,43551,Young (21-40 years)
4047,Male,18,4,30606,Teenager (0-20 years)
4130,Male,35,6,48439,Young (21-40 years)
4131,Male,45,7,97720,Adult (41-60 years)
4211,Male,45,5,77662,Adult (41-60 years)
4226,Female,35,6,76021,Young (21-40 years)
4242,Male,50,7,78704,Adult (41-60 years)
4302,Male,50,1,45385,Adult (41-60 years)
4547,Male,18,12,02115,Teenager (0-20 years)
4640,Male,25,4,55417,Young (21-40 years)
4667,Male,25,14,94117,Young (21-40 years)
4741,Male,35,7,15203,Young (21-40 years)
4779,Male,45,3,04011,Adult (41-60 years)
4833,Male,35,16,81321,Young (21-40 years)
4862,Male,25,0,94086,Young (21-40 years)
4874,Female,25,4,70808,Young (21-40 years)
4885,Male,56,1,23513,Adult (41-60 years)
4929,Male,45,1,63105,Adult (41-60 years)
4977,Male,25,4,92507,Young (21-40 years)
5146,Male,56,1,04240,Adult (41-60 years)
5148,Male,25,20,98101,Young (21-40 years)
5163,Male,45,6,53216,Adult (41-60 years)
5293,Male,25,12,95030,Young (21-40 years)
5339,Male,18,17,60193,Teenager (0-20 years)
5342,Female,35,7,22039,Young (21-40 years)
5388,Female,18,4,10580,Teenager (0-20 years)
5496,Male,25,7,90069,Young (21-40 years)
5507,Male,45,7,44325,Adult (41-60 years)
5579,Female,35,7,07039,Young (21-40 years)
5581,Male,25,0,10016,Young (21-40 years)
5663,Female,35,20,75093,Young (21-40 years)
5677,Male,25,1,13210,Young (21-40 years)
5715,Male,18,4,90024,Teenager (0-20 years)
5795,Male,25,1,92688,Young (21-40 years)
5863,Female,25,14,89511,Young (21-40 years)
6001,Female,25,7,94117,Young (21-40 years)
