,userId,age,gender,occupation,zipCode,age_group
96,97,43,Male,artist,98006,Adult (41-60 years)
265,266,62,Female,administrator,78756,Adult (41-60 years)
810,811,40,Female,educator,73013,Young (21-40 years)
23,24,21,Female,artist,94533,Young (21-40 years)
30,31,24,Male,artist,10003,Young (21-40 years)
280,281,15,Female,student,06059,Teenager (0-20 years)
568,569,34,Male,educator,91903,Young (21-40 years)
259,260,40,Female,artist,89801,Young (21-40 years)
331,332,20,Male,student,40504,Teenager (0-20 years)
323,324,21,Female,student,02176,Young (21-40 years)
422,423,64,Male,other,91606,Adult (41-60 years)
467,468,28,Male,engineer,02341,Young (21-40 years)
286,287,21,Male,salesman,31211,Young (21-40 years)
893,894,47,Male,educator,74075,Adult (41-60 years)
868,869,30,Male,student,10025,Young (21-40 years)
638,639,42,Female,librarian,12065,Adult (41-60 years)
538,539,53,Female,administrator,80303,Adult (41-60 years)
499,500,28,Male,administrator,94305,Young (21-40 years)
481,482,18,Female,student,40256,Teenager (0-20 years)
334,335,45,Male,executive,33775,Adult (41-60 years)
