,userId,gender,age,occupation,zipCode
4,5,M,25,20,55455
26,27,M,25,11,19130
53,54,M,50,1,56723
58,59,F,50,1,55413
94,95,M,45,0,98201
159,160,M,35,7,13021
172,173,M,25,0,45237
204,205,M,35,12,97333
217,218,M,35,14,95822
244,245,M,35,16,66046
257,258,M,25,7,55436
260,261,M,25,20,75801
262,263,F,25,7,22304
355,356,M,56,20,55101
375,376,M,35,1,80026
385,386,M,25,0,55408
459,460,M,45,18,55313
475,476,M,35,0,55127
483,484,F,1,10,55104
521,522,M,25,12,55124
525,526,M,45,17,94806
543,544,M,35,12,94538
553,554,M,25,12,94086
567,568,F,50,17,19716
570,571,M,50,5,95401
581,582,M,18,4,67042
582,583,F,25,0,48067
585,586,M,35,14,53092
646,647,M,35,12,85224
654,655,F,25,2,92629
702,703,F,56,1,44074
713,714,M,18,4,76013
745,746,F,18,19,95019
760,761,M,18,7,99945
768,769,M,45,17,02421
793,794,M,50,20,10543
828,829,M,1,19,53711
838,839,M,25,0,98103
840,841,F,50,14,92119
872,873,M,56,6,19027
899,900,F,56,13,90066
914,915,M,25,7,72762
915,916,F,25,1,92084
918,919,F,35,1,92056
940,941,M,18,20,45387
993,994,M,18,2,92109
1024,1025,M,25,16,34677
1032,1033,M,25,5,60076
1053,1054,M,1,10,75040
1135,1136,F,35,7,90274
1145,1146,F,18,16,80260
1173,1174,F,18,16,91780
1255,1256,M,25,20,10002
1276,1277,F,18,0,06360
1298,1299,M,25,14,02038
1310,1311,M,18,10,90274
1313,1314,F,18,4,68154
1326,1327,M,1,10,12159
1335,1336,F,50,20,95051
1341,1342,M,35,0,94560
1355,1356,F,18,4,91706
1404,1405,M,56,13,33445
1466,1467,M,25,5,97007
1579,1580,F,18,4,76201
1633,1634,F,56,0,38340
1634,1635,M,25,0,97212
1652,1653,M,18,0,94044
1721,1722,M,35,0,72058
1733,1734,M,45,17,94602
1740,1741,M,35,7,91107
1746,1747,M,25,0,90638
1760,1761,M,35,0,72058
1768,1769,M,25,17,75240
1797,1798,M,45,11,22204
1802,1803,M,25,2,50021
1805,1806,M,18,4,22032
1810,1811,M,56,2,08825
1811,1812,F,25,12,48103
1834,1835,M,25,19,11501
1846,1847,M,18,4,60047
1872,1873,M,35,7,02127
1881,1882,M,35,16,92352
1882,1883,F,50,0,94521
1892,1893,F,35,0,90024
1912,1913,M,25,17,95126
1914,1915,M,50,13,01938
1956,1957,F,18,4,23185
1968,1969,F,25,3,92116
1980,1981,M,56,1,80303
2012,2013,M,45,0,60543
2013,2014,M,18,4,53233
2027,2028,M,45,6,44131
2037,2038,F,45,1,33301
2066,2067,M,50,16,06430
2159,2160,F,18,19,46556
2164,2165,M,25,7,32836
2173,2174,M,50,12,87505
2176,2177,F,35,20,95451
2178,2179,F,25,0,28304
2192,2193,M,1,10,41011
2194,2195,M,1,10,60148
2200,2201,M,56,20,46804
2218,2219,M,25,6,60060
2260,2261,M,25,5,33025
2283,2284,M,25,20,90024
2284,2285,F,1,10,13090
2285,2286,M,35,17,82604
2288,2289,F,50,1,52002
2377,2378,M,25,3,75150
2408,2409,F,35,9,06074
2411,2412,M,56,13,01501
2451,2452,M,45,7,01545
2526,2527,M,35,15,36109
2560,2561,M,25,15,06460
2584,2585,M,45,15,64081-8102
2591,2592,M,50,7,80004-4448
2663,2664,M,35,7,52402
2664,2665,M,35,11,98443
2714,2715,F,50,4,96822
2765,2766,M,45,7,55016
2777,2778,M,56,13,94025
2794,2795,M,50,13,33710
2795,2796,M,25,14,92104
2825,2826,M,35,12,10011
2918,2919,M,18,17,88076
2948,2949,M,25,17,98033
2970,2971,M,25,4,48104
2973,2974,M,18,4,48105
2981,2982,M,25,4,54902
2996,2997,F,35,16,45238
3040,3041,M,25,4,97333
3068,3069,M,18,4,97470
3072,3073,M,25,0,90028
3109,3110,M,25,0,10002
3117,3118,M,25,0,77025
3121,3122,F,25,7,22209
3122,3123,M,25,2,90401
3135,3136,F,25,4,72801
3161,3162,M,25,1,08854-3115
3250,3251,M,35,17,15330
3277,3278,M,35,7,10014
3280,3281,M,25,17,79705
3295,3296,M,18,14,90292
3446,3447,M,25,12,94131
3466,3467,M,25,14,55421
3468,3469,M,45,17,02176
3472,3473,F,35,16,02472
3476,3477,F,50,1,10024
3519,3520,M,25,0,40515
3571,3572,M,35,11,04287
3598,3599,M,25,16,97378
3689,3690,M,18,0,63116
3708,3709,M,25,12,89502
3724,3725,M,18,4,32608
3726,3727,M,35,7,74401
3768,3769,M,25,15,02446
3773,3774,M,25,0,52556
3796,3797,M,25,7,02420
3844,3845,M,25,12,94065
3903,3904,M,1,10,48445
3987,3988,F,25,14,60647
3992,3993,M,25,0,22015
4013,4014,M,25,0,48316-5601
4053,4054,M,35,3,68122
4100,4101,M,18,4,23233
4111,4112,M,45,18,47129
4150,4151,M,45,20,43201
4169,4170,M,45,7,53713
4185,4186,M,25,7,33308
4222,4223,F,35,17,60148
4250,4251,M,45,7,60139
4334,4335,M,35,0,74011
4346,4347,F,18,20,77304
4356,4357,F,35,9,83616
4375,4376,F,25,5,27203
4387,4388,M,45,3,75074
4404,4405,M,25,14,98103
4410,4411,M,18,4,92122
4427,4428,M,25,14,46940
4429,4430,F,25,0,94403
4430,4431,M,1,14,80401
4476,4477,M,25,7,98908
4479,4480,M,25,0,94403
4515,4516,M,18,4,53142
4534,4535,M,18,19,17517
4544,4545,M,25,16,47274
4549,4550,M,18,16,24541
4574,4575,F,1,10,03608
4609,4610,F,25,4,53951
4610,4611,F,18,4,78705
4658,4659,F,25,14,37076
4659,4660,F,18,4,06074
4741,4742,M,25,3,94118
4793,4794,F,35,0,46142
4801,4802,M,56,1,40601
4832,4833,M,35,16,81321
4833,4834,F,45,9,03862
4840,4841,M,25,12,94114
4850,4851,M,18,17,44406
4894,4895,F,25,3,52001
4898,4899,M,25,12,94402
4919,4920,M,35,1,02144
4944,4945,M,50,0,62234
4958,4959,M,25,17,23454
4982,4983,F,45,16,55116
5001,5002,M,25,17,90505
5003,5004,F,56,1,90402
5079,5080,F,50,12,95472
5135,5136,M,25,12,91106
5153,5154,M,25,16,20007
5162,5163,M,45,6,53216
5182,5183,F,18,20,45202
5214,5215,F,56,6,91941
5220,5221,F,56,1,96734
5247,5248,F,45,14,22206
5251,5252,M,25,20,60622
5255,5256,M,25,16,30269
5263,5264,M,18,4,15217
5279,5280,M,18,4,12604
5321,5322,M,35,17,97330
5336,5337,F,35,3,02725-1010
5382,5383,M,35,1,55430
5417,5418,F,25,0,53589
5430,5431,M,56,1,19026
5493,5494,F,35,17,94306
5503,5504,M,45,7,85287-2702
5515,5516,F,50,16,98257
5556,5557,M,35,14,33701
5585,5586,M,35,20,94107
5587,5588,F,25,20,60640
5597,5598,M,18,4,27607
5612,5613,F,35,0,98622
5621,5622,M,35,15,01775
5650,5651,F,25,6,74105
5664,5665,M,18,4,10461-1301
5732,5733,M,25,4,48109
5758,5759,F,25,1,08904
5762,5763,F,25,1,08904
5784,5785,F,25,7,60607
5811,5812,F,25,7,92120
5853,5854,M,45,7,33135
5878,5879,M,35,7,02135
5894,5895,M,25,1,43026
5908,5909,M,18,20,91330
5917,5918,M,25,12,55105
5928,5929,F,35,0,33607
5986,5987,M,25,16,10003
5990,5991,F,35,20,94025
5992,5993,F,50,20,50010
6008,6009,F,25,12,60540
