userId,gender,age_group,recommendations
26,Male,Adult (41-60 years),"[64, 56, 69, 182, 902, 98, 1127, 273, 12]"
31,Male,Young (21-40 years),"[483, 64, 318, 133, 1127]"
33,Male,Young (21-40 years),"[1278, 64, 98, 1362, 591, 12, 79]"
91,Male,Adult (41-60 years),"[64, 56, 82, 423, 50, 69, 210, 132, 204]"
97,Male,Adult (41-60 years),"[204, 173, 210, 64, 56, 195, 98, 69]"
106,Male,Adult (41-60 years),"[483, 127, 514, 64, 272, 216, 1127, 197, 202]"
116,Male,Young (21-40 years),"[483, 64, 69, 56, 127, 182, 514, 1127, 202]"
144,Male,Adult (41-60 years),[]
231,Male,Adult (41-60 years),"[64, 56, 174, 22, 98, 69, 82, 187, 96]"
253,Female,Young (21-40 years),"[133, 514, 173, 216, 64, 69, 202, 275]"
284,Male,Young (21-40 years),"[313, 272, 302, 269, 286, 340, 258, 344, 887, 304]"
437,Female,Young (21-40 years),[]
563,Female,Young (21-40 years),"[216, 202, 88, 173, 393, 739, 204, 354, 610]"
609,Female,Teenager (0-20 years),"[313, 304, 285, 408, 125, 294, 475, 319, 259, 1]"
660,Male,Young (21-40 years),[]
698,Female,Young (21-40 years),"[133, 483, 275, 143, 487, 514, 216]"
760,Female,Young (21-40 years),"[216, 514, 173, 275, 202, 483, 88, 478]"
764,Female,Young (21-40 years),"[216, 173, 64, 56, 69, 98, 1127, 202]"
766,Male,Adult (41-60 years),"[64, 56, 514, 182, 173, 902, 483, 69]"
920,Female,Young (21-40 years),"[79, 313, 1585, 22]"
