userId,gender,age_group,recommendations
26,Male,Adult (41-60 years),"[56, 69, 64, 272, 98, 82, 1127, 22]"
31,Male,Young (21-40 years),"[483, 318, 64, 127, 56, 644, 1127, 48]"
33,Male,Young (21-40 years),"[1362, 12, 1278, 98, 79]"
91,Male,Adult (41-60 years),"[64, 174, 127, 82, 483, 56, 423, 172, 294, 132]"
97,Male,Adult (41-60 years),"[204, 64, 56, 173, 69]"
106,Male,Adult (41-60 years),"[483, 64, 127, 514, 272, 197, 173, 216]"
116,Male,Young (21-40 years),"[483, 64, 69, 56, 127, 98, 182, 318]"
144,Male,Adult (41-60 years),[]
231,Male,Adult (41-60 years),"[64, 56, 69, 22, 96, 98, 318, 12]"
253,Female,Young (21-40 years),"[69, 1127, 202, 216, 64, 173, 514]"
284,Male,Young (21-40 years),"[272, 286, 269, 344, 900, 340, 748, 313, 333, 270]"
437,Female,Young (21-40 years),[]
563,Female,Young (21-40 years),"[1, 173, 204, 393, 202, 610]"
609,Female,Teenager (0-20 years),"[477, 1127, 8, 367, 255, 269]"
660,Male,Young (21-40 years),[]
698,Female,Young (21-40 years),"[64, 216, 69, 173, 202, 275, 88, 1127, 902, 514]"
760,Female,Young (21-40 years),"[216, 88, 173, 155]"
764,Female,Young (21-40 years),"[216, 69, 64, 173, 1127, 202, 71]"
766,Male,Adult (41-60 years),"[64, 56, 1127, 202, 69, 514, 173, 902, 216]"
920,Female,Young (21-40 years),"[302, 333, 258, 350, 300, 270, 288, 311, 331, 1612]"
