userId,gender,age_group,recommendations,all_movies_rec
26,Male,Adult (41-60 years),"[56, 64, 69, 182]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Goodfellas (1990)']"
31,Male,Young (21-40 years),"[483, 64, 127, 272]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Godfather (1972)', 'Good Will Hunting (1997)']"
33,Male,Young (21-40 years),"[1362, 98]","['The Sixth Sense (1999)', 'American History X (1998)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Blair Witch Project (1999)']"
91,Male,Adult (41-60 years),"[64, 174, 69, 127]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Star Wars: Episode IV - A New Hope (1977)', 'Forrest Gump (1994)', 'The Godfather (1972)']"
97,Male,Adult (41-60 years),"[204, 64, 173, 56]","['Back to the Future (1985)', 'The Shawshank Redemption (1994)', 'The Matrix (1999)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)']"
106,Male,Adult (41-60 years),"[64, 196, 191, 97, 318]","['""The Shawshank Redemption"" (1994)', 'It tells the story of a banker who is sentenced to life in Shawshank State Penitentiary and forms a bond with a fellow inmate.', '""Dead Poets Society"" (1989)', '""Amadeus"" (1984)', '""Dances with Wolves"" (1990)', '""Schindler\'s List"" (1993)']"
116,Male,Young (21-40 years),"[483, 64, 69, 56, 187]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)']"
144,Male,Adult (41-60 years),[],[]
231,Male,Adult (41-60 years),"[69, 64, 79, 22, 82]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Fugitive (1993)', 'Braveheart (1995)', 'Jurassic Park (1993)']"
253,Female,Young (21-40 years),"[69, 202, 173, 1127]","['""Forrest Gump"" (1994)', '""Groundhog Day"" (1993)', '""The Princess Bride"" (1987)', '""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)']"
284,Male,Young (21-40 years),"[1585, 64, 56, 1127]","['""American Beauty"" (1999)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)']"
437,Female,Young (21-40 years),[],[]
563,Female,Young (21-40 years),"[1, 88, 173, 393, 204]","['Toy Story (1995)', 'Sleepless in Seattle (1993)', 'The Princess Bride (1987)', 'Mrs. Doubtfire (1993)', 'Back to the Future (1985)']"
609,Female,Teenager (0-20 years),"[477, 255, 367]","['The Parent Trap (1998)', 'Matilda (1996)', ""My Best Friend's Wedding (1997)"", 'The Princess Diaries (2001)', 'Clueless (1995)']"
660,Male,Young (21-40 years),[],[]
698,Female,Young (21-40 years),"[64, 69, 173, 1127]","['""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""The Truman Show"" (1998)', '""The Breakfast Club"" (1985)']"
760,Female,Young (21-40 years),"[216, 88, 173]","['When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'Notting Hill (1999)', ""You've Got Mail (1998)"", 'The Princess Bride (1987)']"
764,Female,Young (21-40 years),"[88, 216, 64, 69]","['""Sleepless in Seattle"" (1993)', '""The Notebook"" (2004)', '""When Harry Met Sally..."" (1989)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)']"
766,Male,Adult (41-60 years),"[64, 1127, 202, 69, 173]","['""The Shawshank Redemption"" (1994)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)']"
920,Female,Young (21-40 years),"[79, 313, 64]","['The Fugitive (1993)', 'The Sixth Sense (1999)', 'Titanic (1997)', 'Saving Private Ryan (1998)', 'The Shawshank Redemption (1994)']"
