userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 174, 89, 96, 98, 22, 273]","['Step 2: Filter movies based on preferred genres and years:', 'The Fugitive (1993)', 'It has a high rating and is likely to be enjoyed by the user.', 'Die Hard (1988)', ""It is highly rated and aligns with the user's preferred genres and years."", 'Raiders of the Lost Ark (1981)', 'It is part of the Indiana Jones series and is likely to be enjoyed by the user based on their rating for ""Indiana Jones and the Last Crusade.""', 'Blade Runner (1982)', 'It has elements of Action and Thriller, making it a suitable recommendation for the user.', 'Lethal Weapon (1987)', 'Terminator 2: Judgment Day (1991)', ""It is highly regarded as one of the best action movies of all time and aligns with the user's preferred genres and years."", 'The Silence of the Lambs (1991)', 'It is critically acclaimed and has a high rating, making it a strong recommendation for the user.', 'Braveheart (1995)', 'It has a mix of genres that the user enjoys and is highly rated.', 'The Matrix (1999)', ""Although it falls slightly outside the user's preferred years, it is highly rated and aligns with their preferred genres."", 'Heat (1995)', 'It has a high rating and is known for its intense action sequences and gripping storyline.']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 514, 496, 197, 482, 64, 216, 127, 69, 705]","['We will also take into account the ratings provided by the user for the movies they have already watched.', 'Casablanca (1942)', 'Annie Hall (1977)', ""It's a Wonderful Life (1946)"", 'The Graduate (1967)', 'Some Like It Hot (1959)', 'The Shawshank Redemption (1994)', 'When Harry Met Sally... (1989)', 'The Godfather (1972)', 'Forrest Gump (1994)', ""Singin' in the Rain (1952)""]"
20,Female,Adult (41-60 years),"[64, 56, 98, 603, 483, 12, 210]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather"" (1972)', '""The Silence of the Lambs"" (1991)', '""Rear Window"" (1954)', '""Casablanca"" (1942)', '""The Matrix"" (1999)', '""The Usual Suspects"" (1995)', '""The Graduate"" (1967)', '""Indiana Jones and the Last Crusade"" (1989)']"
22,Male,Young (21-40 years),"[204, 82, 173, 144, 257, 195]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Jurassic Park (1993)', 'The Princess Bride (1987)', 'Die Hard (1988)', 'Indiana Jones and the Raiders of the Lost Ark (1981)', 'Men in Black (1997)', 'The Terminator (1984)', 'Airplane! (1980)', 'Lethal Weapon (1987)']"
26,Male,Adult (41-60 years),"[56, 69, 64, 272, 98, 1127, 82, 318, 71]","['Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'Jurassic Park (1993)', ""Schindler's List (1993)"", 'The Lion King (1994)']"
28,Male,Young (21-40 years),"[174, 204, 173, 82, 144]","['The Exorcist (1973)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'The Princess Bride (1987)', 'Jurassic Park (1993)', 'Airplane! (1980)', 'Die Hard (1988)', 'The Addams Family (1991)', 'Spaceballs (1987)']"
31,Male,Young (21-40 years),"[483, 64, 318, 1127, 527, 644, 48]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The Godfather"" (1972)', '""The Truman Show"" (1998)', '""Gandhi"" (1982)', '""The Thin Blue Line"" (1988)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Hoop Dreams"" (1994)', '""The Pianist"" (2002)']"
33,Male,Young (21-40 years),"[1585, 406]","[""Step 3: Consider the user's ratings for the movies they have already watched:"", 'The Sixth Sense (1999)', 'Fight Club (1999)', 'The Blair Witch Project (1999)', 'American Beauty (1999)', 'The Matrix (1999)', 'The Talented Mr. Ripley (1999)', 'The Others (2001)', 'Magnolia (1999)', 'The Green Mile (1999)', 'The Insider (1999)']"
45,Male,Young (21-40 years),"[69, 202, 1127, 216, 204, 173, 64, 272, 902]","['""Forrest Gump"" (1994)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""When Harry Met Sally..."" (1989)', '""Back to the Future"" (1985)', '""The Princess Bride"" (1987)', '""The Shawshank Redemption"" (1994)', '""The Lion King"" (1994)', '""Good Will Hunting"" (1997)', '""The Big Lebowski"" (1998)']"
47,Male,Adult (41-60 years),"[100, 272, 316, 346, 269, 293, 896, 248]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'As Good as It Gets (1997)', 'Jackie Brown (1997)', 'The Full Monty (1997)', 'Donnie Brasco (1997)', 'Life is Beautiful (1997)', 'The Sweet Hereafter (1997)', 'Grosse Pointe Blank (1997)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 257, 316, 250, 1127, 298, 269, 346]","['Step 2: Filter movies based on preferred genres and years:', 'Step 3: Remove any movies with sensitive attributes:', 'L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Men in Black (1997)', 'As Good as It Gets (1997)', 'The Fifth Element (1997)', 'The Truman Show (1998)', 'Face/Off (1997)', 'Life is Beautiful (1997)', 'The Full Monty (1997)', 'Jackie Brown (1997)']"
