userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 174, 89, 195, 56, 98, 64]","['The Fugitive (1993)', 'Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'Blade Runner (1982)', 'The Terminator (1984)', 'Lethal Weapon (1987)', 'The Matrix (1999)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Shawshank Redemption (1994)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 69, 64, 56, 187, 182, 173, 1127]","['""Casablanca"" (1942)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather Part II"" (1974)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Goodfellas"" (1990)', '""The Princess Bride"" (1987)', '""The Truman Show"" (1998)', '""The Graduate"" (1967)', ""The choices also take into account the user's high ratings for movies with similar genres and time periods.""]"
20,Female,Adult (41-60 years),"[64, 56, 98, 182]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather"" (1972)', '""The Dark Knight"" (2008)', '""Fight Club"" (1999)', '""The Silence of the Lambs"" (1991)', '""Inception"" (2010)', '""The Matrix"" (1999)', '""Goodfellas"" (1990)', '""The Departed"" (2006)']"
22,Male,Young (21-40 years),"[204, 257, 173, 174, 195, 144]","['Ghostbusters (1984)', 'Back to the Future (1985)', 'Men in Black (1997)', 'The Princess Bride (1987)', 'Raiders of the Lost Ark (1981)', 'Airplane! (1980)', 'The Terminator (1984)', 'Spaceballs (1987)', 'Die Hard (1988)', 'Guardians of the Galaxy (2014)']"
26,Male,Adult (41-60 years),"[56, 69, 64, 182, 98, 82, 22, 1127]","['Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Truman Show (1998)', 'Fight Club (1999)']"
28,Male,Young (21-40 years),"[174, 204, 82, 219, 144, 168]","['The Thing (1982)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'The Exorcist (1973)', 'Jurassic Park (1993)', 'Airplane! (1980)', 'A Nightmare on Elm Street (1984)', 'Die Hard (1988)', '""', 'Monty Python and the Holy Grail (1975)']"
31,Male,Young (21-40 years),"[483, 318, 64, 1127, 133, 644]","['""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""The Truman Show"" (1998)', '""Gone with the Wind"" (1939)', '""The Social Network"" (2010)', '""The Thin Blue Line"" (1988)', '""The Pianist"" (2002)', '""Eternal Sunshine of the Spotless Mind"" (2004)']"
33,Male,Young (21-40 years),"[98, 1278, 1362, 12]","['The Silence of the Lambs (1991)', 'Se7en (1995)', 'The Sixth Sense (1999)', 'American History X (1998)', 'The Blair Witch Project (1999)', 'Fight Club (1999)', 'The Usual Suspects (1995)', 'The Green Mile (1999)', 'The Others (2001)', 'A Few Good Men (1992)']"
45,Male,Young (21-40 years),"[202, 69, 216, 173, 204, 1127, 902, 272, 64, 514]","['""Groundhog Day"" (1993)', '""Forrest Gump"" (1994)', '""When Harry Met Sally..."" (1989)', '""The Princess Bride"" (1987)', '""Back to the Future"" (1985)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)', '""Good Will Hunting"" (1997)', '""The Shawshank Redemption"" (1994)', '""Annie Hall"" (1977)']"
47,Male,Adult (41-60 years),"[100, 272, 12, 316, 1, 896, 902, 1127]","['Fargo (1996)', 'The Game (1997)', 'Good Will Hunting (1997)', 'The Usual Suspects (1995)', 'As Good as It Gets (1997)', 'LA Story (1991)', 'The Sweet Hereafter (1997)', 'The Big Lebowski (1998)', 'The Truman Show (1998)', 'The Talented Mr. Ripley (1999)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 250, 257, 316, 1127, 270, 346, 269]","['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'The Fifth Element (1997)', 'Men in Black (1997)', 'As Good as It Gets (1997)', 'The Truman Show (1998)', 'The Negotiator (1998)', 'Gattaca (1997)', 'Jackie Brown (1997)', 'The Full Monty (1997)']"
67,Male,Teenager (0-20 years),"[56, 257, 249, 288, 385, 780, 79, 67, 17]","['Pulp Fiction (1994)', 'Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'The Mask (1994)', 'Scream (1996)', 'True Lies (1994)', 'Dumb and Dumber (1994)', 'The Fugitive (1993)', 'Ace Ventura: Pet Detective (1994)', 'From Dusk Till Dawn (1996)']"
69,Male,Young (21-40 years),"[56, 64, 127, 174, 98, 234, 12, 182, 144]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'The Godfather (1972)', 'Raiders of the Lost Ark (1981)', 'The Silence of the Lambs (1991)', 'Jaws (1975)', 'The Usual Suspects (1995)', 'Goodfellas (1990)', 'Die Hard (1988)', 'Fight Club (1999)']"
72,Female,Adult (41-60 years),"[64, 56, 12, 318, 98]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather"" (1972)', '""Fight Club"" (1999)', '""The Usual Suspects"" (1995)', '""Schindler\'s List"" (1993)', '""The Silence of the Lambs"" (1991)', '""The Departed"" (2006)', '""The Dark Knight"" (2008)', '""Inception"" (2010)']"
73,Male,Young (21-40 years),"[483, 514, 1127, 64, 69, 173, 902]","['""Casablanca"" (1942)', '""Annie Hall"" (1977)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Amélie"" (2001)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""The Big Lebowski"" (1998)', '""The Godfather"" (1972)']"
75,Male,Young (21-40 years),"[69, 1127, 202, 272, 64, 56, 514, 902, 173]","['""Forrest Gump"" (1994)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""Good Will Hunting"" (1997)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Annie Hall"" (1977)', '""The Big Lebowski"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Princess Bride"" (1987)']"
82,Male,Adult (41-60 years),"[64, 202, 514, 69, 483, 173, 1127]","['""The Shawshank Redemption"" (1994)', '""Groundhog Day"" (1993)', '""Annie Hall"" (1977)', '""Forrest Gump"" (1994)', '""Casablanca"" (1942)', '""The Princess Bride"" (1987)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""The Graduate"" (1967)', '""Amélie"" (2001)']"
83,Male,Young (21-40 years),"[202, 216, 367, 173, 514, 354, 70, 316]","['""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""Clueless"" (1995)', '""The Princess Bride"" (1987)', '""Annie Hall"" (1977)', '""The Wedding Singer"" (1998)', '""Four Weddings and a Funeral"" (1994)', '""As Good as It Gets"" (1997)', '""An Officer and a Gentleman"" (1982)', '""Moonstruck"" (1987)']"
89,Female,Adult (41-60 years),"[64, 69, 173, 955]","['""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Princess Bride"" (1987)', '""Amélie"" (2001)', '""Before Sunrise"" (1995)', '""Silver Linings Playbook"" (2012)', '""Lost in Translation"" (2003)', '""Before Sunset"" (2004)', '""La La Land"" (2016)']"
91,Male,Adult (41-60 years),"[64, 483, 56, 82, 423, 172, 132, 318, 69]","['""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Casablanca"" (1942)', '""Pulp Fiction"" (1994)', '""Jurassic Park"" (1993)', '""E.T. the Extra-Terrestrial"" (1982)', '""The Empire Strikes Back"" (1980)', '""The Wizard of Oz"" (1939)', '""Schindler\'s List"" (1993)', '""Forrest Gump"" (1994)']"
95,Male,Young (21-40 years),[],[]
96,Female,Young (21-40 years),"[204, 56, 173, 98, 64, 603, 127, 1127]","['""Back to the Future (1985)', '""Pulp Fiction (1994)', '""The Princess Bride (1987)', '""The Silence of the Lambs (1991)', '""The Breakfast Club (1985)', '""The Shawshank Redemption (1994)', '""Rear Window (1954)', '""The Godfather (1972)', '""Eternal Sunshine of the Spotless Mind (2004)', '""The Truman Show (1998)']"
97,Male,Adult (41-60 years),"[204, 173, 423, 64, 56, 483, 82, 902]","['""Back to the Future"" (1985)', '""The Princess Bride"" (1987)', '""E.T. the Extra-Terrestrial"" (1982)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Matrix"" (1999)', '""Casablanca"" (1942)', '""The Godfather"" (1972)', '""Jurassic Park"" (1993)', '""The Big Lebowski"" (1998)']"
101,Male,Teenager (0-20 years),"[216, 202, 69, 173, 204, 1127, 88, 64, 902, 1221]","['""When Harry Met Sally... (1989)', '""Groundhog Day (1993)', '""Forrest Gump (1994)', '""The Princess Bride (1987)', '""Back to the Future (1985)', '""The Truman Show (1998)', '""Sleepless in Seattle (1993)', '""The Shawshank Redemption (1994)', '""The Big Lebowski (1998)', '""When a Man Loves a Woman (1994)']"
105,Male,Young (21-40 years),"[1127, 79, 64, 56, 98, 1585, 12, 273]","['The Matrix (1999)', 'Fight Club (1999)', 'The Truman Show (1998)', 'The Fugitive (1993)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'American Beauty (1999)', 'The Usual Suspects (1995)', 'Heat (1995)']"
106,Male,Adult (41-60 years),"[64, 286, 191, 69, 22, 660, 275, 86, 1127]","['""The Shawshank Redemption"" (1994)', '""The English Patient"" (1996)', '""Amadeus"" (1984)', '""Forrest Gump"" (1994)', '""Braveheart"" (1995)', '""Fried Green Tomatoes"" (1991)', '""The Piano"" (1993)', '""Sense and Sensibility"" (1995)', '""The Remains of the Day"" (1993)', '""The Truman Show"" (1998)']"
