userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[144, 79, 96, 174, 273, 89, 385, 12]","['Die Hard (1988)', 'Lethal Weapon (1987)', 'The Fugitive (1993)', 'Terminator 2: Judgment Day (1991)', 'Raiders of the Lost Ark (1981)', 'The Matrix (1999)', 'Heat (1995)', 'Blade Runner (1982)', 'True Lies (1994)', 'The Usual Suspects (1995)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 69, 64, 514, 272, 173, 202]","['""Casablanca"" (1942)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Annie Hall"" (1977)', '""The Graduate"" (1967)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Good Will Hunting"" (1997)', '""An Officer and a Gentleman"" (1982)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)']"
20,Female,Adult (41-60 years),"[64, 210, 550, 98, 56, 82]","['""The Shawshank Redemption"" (1994)', '""Indiana Jones and the Last Crusade"" (1989)', '""The Fugitive"" (1993)', '""The Godfather"" (1972)', '""Die Hard with a Vengeance"" (1995)', '""The Silence of the Lambs"" (1991)', '""Gladiator"" (2000)', '""Pulp Fiction"" (1994)', '""The Dark Knight"" (2008)', '""Jurassic Park"" (1993)']"
22,Male,Young (21-40 years),"[204, 257, 173, 174, 195, 388]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Men in Black (1997)', 'The Princess Bride (1987)', 'Raiders of the Lost Ark (1981)', 'Airplane! (1980)', 'The Terminator (1984)', 'Beverly Hills Cop (1984)', 'Spaceballs (1987)', 'The Naked Gun: From the Files of Police Squad! (1988)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 98, 182, 12, 22, 1585]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Matrix (1999)', 'Fight Club (1999)', 'American Beauty (1999)']"
28,Male,Young (21-40 years),"[204, 144, 82, 183]","['""The Thing"" (1982)', '""Back to the Future"" (1985)', '""Ghostbusters"" (1984)', '""The Exorcist"" (1973)', '""Die Hard"" (1988)', '""Beetlejuice"" (1988)', '""Jurassic Park"" (1993)', '""The Evil Dead"" (1981)', '""Airplane!"" (1980)', '""Alien"" (1979)']"
31,Male,Young (21-40 years),"[483, 64, 318, 133, 644]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The Godfather"" (1972)', '""Gone with the Wind"" (1939)', '""The Social Network"" (2010)', '""The Thin Blue Line"" (1988)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Pianist"" (2002)', '""Boyhood"" (2014)', ""Each film offers a compelling story, strong performances, and fits within the user's preferred genres and time frame.""]"
33,Male,Young (21-40 years),"[98, 1278, 1362, 12, 282, 79]","['The Silence of the Lambs (1991)', 'Se7en (1995)', 'The Sixth Sense (1999)', 'American History X (1998)', 'The Blair Witch Project (1999)', 'Fight Club (1999)', 'The Usual Suspects (1995)', 'The Others (2001)', 'A Time to Kill (1996)', 'The Fugitive (1993)']"
45,Male,Young (21-40 years),"[202, 69, 173, 216, 1127, 272, 902, 56, 514, 64]","['""Groundhog Day"" (1993)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""When Harry Met Sally..."" (1989)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""The Big Lebowski"" (1998)', '""Pulp Fiction"" (1994)', '""Annie Hall"" (1977)', '""The Shawshank Redemption"" (1994)']"
47,Male,Adult (41-60 years),"[100, 272, 316, 12, 1585, 902, 1, 64, 56]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'As Good as It Gets (1997)', 'The Usual Suspects (1995)', 'American Beauty (1999)', 'The Big Lebowski (1998)', 'LA Story (1991)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 257, 250, 316, 298, 1127, 270, 346]","['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Men in Black (1997)', 'The Fifth Element (1997)', 'As Good as It Gets (1997)', 'Face/Off (1997)', 'The Truman Show (1998)', 'The Mask of Zorro (1998)', 'Gattaca (1997)', 'Jackie Brown (1997)']"
67,Male,Teenager (0-20 years),"[257, 249, 288, 780, 67, 385, 755, 123]","['Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'Scream (1996)', 'Dumb and Dumber (1994)', 'The Mask (1994)', 'Rush Hour (1998)', 'Ace Ventura: Pet Detective (1994)', 'True Lies (1994)', 'Jumanji (1995)', 'The Frighteners (1996)']"
69,Male,Young (21-40 years),"[56, 64, 144, 174, 127, 82, 182, 22, 98]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'The Godfather (1972)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Goodfellas (1990)', 'Braveheart (1995)', 'The Silence of the Lambs (1991)']"
72,Female,Adult (41-60 years),"[64, 318, 483, 12, 180, 89, 427]","['""Saving Private Ryan"" (1998)', '""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Schindler\'s List"" (1993)', '""Casablanca"" (1942)', '""The Usual Suspects"" (1995)', '""Apocalypse Now"" (1979)', '""The Graduate"" (1967)', '""Blade Runner"" (1982)', '""To Kill a Mockingbird"" (1962)']"
73,Male,Young (21-40 years),"[69, 1127, 64, 173, 182, 514, 902]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""The Shawshank Redemption"" (1994)', '""The Princess Bride"" (1987)', '""Goodfellas"" (1990)', '""Amelie"" (2001)', '""The Godfather"" (1972)', '""Annie Hall"" (1977)', '""The Big Lebowski"" (1998)']"
75,Male,Young (21-40 years),"[69, 64, 56, 272, 202, 1127, 902, 514, 173]","['""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Good Will Hunting"" (1997)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Annie Hall"" (1977)', '""The Princess Bride"" (1987)']"
82,Male,Adult (41-60 years),"[496, 202, 69, 514, 173, 1127, 191, 902, 64]","['""It\'s a Wonderful Life"" (1946)', '""Groundhog Day"" (1993)', '""Forrest Gump"" (1994)', '""Annie Hall"" (1977)', '""The Sting"" (1973)', '""The Princess Bride"" (1987)', '""The Truman Show"" (1998)', '""Amadeus"" (1984)', '""The Big Lebowski"" (1998)', '""The Shawshank Redemption"" (1994)']"
83,Male,Young (21-40 years),"[202, 216, 173, 367, 514, 482, 354]","['""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Princess Bride"" (1987)', '""Clueless"" (1995)', '""Annie Hall"" (1977)', '""Pretty in Pink"" (1986)', '""Some Like It Hot"" (1959)', '""An Officer and a Gentleman"" (1982)', '""Moonstruck"" (1987)', '""The Wedding Singer"" (1998)']"
89,Female,Adult (41-60 years),"[286, 70, 216, 86, 514, 955]","['""The English Patient"" (1996)', '""Four Weddings and a Funeral"" (1994)', '""When Harry Met Sally..."" (1989)', '""Notting Hill"" (1999)', '""The Remains of the Day"" (1993)', '""Shakespeare in Love"" (1998)', '""Annie Hall"" (1977)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Before Sunrise"" (1995)', '""Amélie"" (2001)']"
91,Male,Adult (41-60 years),"[64, 82, 56, 483, 174, 423, 172, 520, 69]","['""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Jurassic Park"" (1993)', '""Pulp Fiction"" (1994)', '""Casablanca"" (1942)', '""Raiders of the Lost Ark"" (1981)', '""E.T. the Extra-Terrestrial"" (1982)', '""The Empire Strikes Back"" (1980)', '""The Great Escape"" (1963)', '""Forrest Gump"" (1994)']"
95,Male,Young (21-40 years),[],[]
96,Female,Young (21-40 years),"[204, 56, 173, 64, 603, 195, 902, 216]","['""Back to the Future"" (1985)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""The Shawshank Redemption"" (1994)', '""Rear Window"" (1954)', '""The Terminator"" (1984)', '""The Big Lebowski"" (1998)', '""The Godfather"" (1972)', '""Casino Royale"" (2006)', '""When Harry Met Sally..."" (1989)']"
97,Male,Adult (41-60 years),"[204, 216, 64, 210, 173, 56, 423]","['""Back to the Future"" (1985)', '""When Harry Met Sally..."" (1989)', '""The Shawshank Redemption"" (1994)', '""Indiana Jones and the Last Crusade"" (1989)', '""The Matrix"" (1999)', '""The Princess Bride"" (1987)', '""Pulp Fiction"" (1994)', '""Star Wars: Episode IV - A New Hope"" (1977)', '""The Godfather"" (1972)', '""E.T. the Extra-Terrestrial"" (1982)']"
101,Male,Teenager (0-20 years),"[216, 202, 173, 739, 367, 514, 88, 354]","['""When Harry Met Sally..."" (1989)', '""Groundhog Day"" (1993)', '""The Princess Bride"" (1987)', '""Ferris Bueller\'s Day Off"" (1986)', '""Pretty Woman"" (1990)', '""Clueless"" (1995)', '""Annie Hall"" (1977)', '""Sleepless in Seattle"" (1993)', '""The Wedding Singer"" (1998)', '""An Officer and a Gentleman"" (1982)']"
105,Male,Young (21-40 years),"[56, 1585, 1127]","['""Pulp Fiction"" (1994)', '""The Matrix"" (1999)', '""Fight Club"" (1999)', '""American Beauty"" (1999)', '""The Sixth Sense"" (1999)', '""Lethal Weapon 4"" (1998)', '""The Truman Show"" (1998)', '""Lock, Stock and Two Smoking Barrels"" (1998)', '""Rush Hour"" (1998)', '""The Fugitive"" (1993)']"
106,Male,Adult (41-60 years),"[483, 64, 286, 275, 86, 70, 272, 1127, 316, 371]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""The English Patient"" (1996)', '""Sense and Sensibility"" (1995)', '""The Remains of the Day"" (1993)', '""Four Weddings and a Funeral"" (1994)', '""Good Will Hunting"" (1997)', '""The Truman Show"" (1998)', '""As Good as It Gets"" (1997)', '""The Bridges of Madison County"" (1995)']"
