userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 174, 96, 89, 12, 1260, 22]","['The Fugitive (1993)', 'Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'Terminator 2: Judgment Day (1991)', 'The Matrix (1999)', 'Lethal Weapon (1987)', 'Blade Runner (1982)', 'The Usual Suspects (1995)', 'Total Recall (1990)', 'Braveheart (1995)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 514, 64, 69, 173, 1127, 216, 202]","['""Casablanca"" (1942)', '""Annie Hall"" (1977)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Princess Bride"" (1987)', '""The Truman Show"" (1998)', '""When Harry Met Sally..."" (1989)', '""Groundhog Day"" (1993)', '""The Green Mile"" (1999)']"
20,Female,Adult (41-60 years),"[64, 56, 98, 318]","['""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Pulp Fiction"" (1994)', '""The Dark Knight"" (2008)', '""Fight Club"" (1999)', '""The Silence of the Lambs"" (1991)', '""The Matrix"" (1999)', '""Inception"" (2010)', '""The Departed"" (2006)', '""Schindler\'s List"" (1993)']"
22,Male,Young (21-40 years),"[204, 173, 257, 144, 96, 186]","['""Back to the Future"" (1985)', '""Indiana Jones and the Raiders of the Lost Ark"" (1981)', '""Ghostbusters"" (1984)', '""The Princess Bride"" (1987)', '""Men in Black"" (1997)', '""Die Hard"" (1988)', '""Airplane!"" (1980)', '""Terminator 2: Judgment Day"" (1991)', '""Spaceballs"" (1987)', '""Blues Brothers, The"" (1980)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 82, 12, 22]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'Jurassic Park (1993)', 'The Usual Suspects (1995)', 'Braveheart (1995)']"
28,Male,Young (21-40 years),"[174, 204, 195, 176]","['""The Thing"" (1982)', '""Raiders of the Lost Ark"" (1981)', '""Ghostbusters"" (1984)', '""The Exorcist"" (1973)', '""Back to the Future"" (1985)', '""Airplane!"" (1980)', '""The Terminator"" (1984)', '""The Shining"" (1980)', '""Blazing Saddles"" (1974)', '""Aliens"" (1986)']"
31,Male,Young (21-40 years),"[483, 64, 318, 644, 1127]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The Godfather"" (1972)', '""The Pianist"" (2002)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Thin Blue Line"" (1988)', '""The Social Network"" (2010)', '""Grizzly Man"" (2005)', '""The Truman Show"" (1998)']"
33,Male,Young (21-40 years),"[1278, 64, 98, 1362, 12, 475]","['""Seven (1995)', '""The Shawshank Redemption (1994)', '""The Silence of the Lambs (1991)', '""American History X (1998)', '""Fight Club (1999)', '""The Sixth Sense (1999)', '""A Few Good Men (1992)', '""The Usual Suspects (1995)', '""Trainspotting (1996)', '""The Blair Witch Project (1999)']"
45,Male,Young (21-40 years),"[69, 64, 202, 56, 272, 1127, 902, 173, 204]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Groundhog Day (1993)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'The Princess Bride (1987)', 'The Breakfast Club (1985)', 'Back to the Future (1985)']"
47,Male,Adult (41-60 years),"[100, 272, 475, 12, 316, 1, 1127, 896, 902]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'Trainspotting (1996)', 'The Usual Suspects (1995)', 'As Good as It Gets (1997)', 'LA Story (1991)', 'The Truman Show (1998)', 'The Sweet Hereafter (1997)', 'The Big Lebowski (1998)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
