userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[144, 195, 22, 79, 385, 1067, 273, 1260]","['Die Hard (1988)', 'Lethal Weapon (1987)', 'The Terminator (1984)', 'Braveheart (1995)', 'The Fugitive (1993)', 'True Lies (1994)', 'The Rock (1996)', 'Heat (1995)', 'Total Recall (1990)', 'A Few Good Men (1992)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 514, 173, 69, 202, 216, 64, 1127, 902, 56]","['""Casablanca"" (1942)', '""Annie Hall"" (1977)', '""The Princess Bride"" (1987)', '""Forrest Gump"" (1994)', '""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Shawshank Redemption"" (1994)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)', '""Pulp Fiction"" (1994)', 'Each film offers a unique blend of these genres and has been highly regarded by critics and audiences alike.']"
20,Female,Adult (41-60 years),"[64, 127, 56, 98, 174, 12, 22, 79]","['The Shawshank Redemption (1994)', 'The Godfather (1972)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Raiders of the Lost Ark (1981)', 'It offers a thrilling and entertaining experience with iconic moments.', 'The Usual Suspects (1995)', 'The Green Mile (1999)', 'It tells a powerful story set in a prison and features exceptional performances by Tom Hanks and Michael Clarke Duncan.', 'Braveheart (1995)', 'It offers a compelling narrative set in medieval Scotland and showcases epic battle scenes.', 'The Fugitive (1993)', 'A Few Good Men (1992)']"
22,Male,Young (21-40 years),"[204, 144, 173, 195, 265]","['""Back to the Future"" (1985)', '""Ghostbusters"" (1984)', '""Die Hard"" (1988)', '""Indiana Jones and the Raiders of the Lost Ark"" (1981)', '""The Princess Bride"" (1987)', '""Airplane!"" (1980)', '""The Terminator"" (1984)', '"" It offers a thrilling storyline and iconic characters.', '""Spaceballs"" (1987)', '""Blazing Saddles"" (1974)', '""The Hunt for Red October"" (1990)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 98, 182, 12, 1127]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Matrix (1999)', 'The Usual Suspects (1995)', 'The Truman Show (1998)', 'Fight Club (1999)', 'The Green Mile (1999)']"
28,Male,Young (21-40 years),"[204, 82, 144, 173, 195]","['""The Thing"" (1982)', '""Back to the Future"" (1985)', '""Ghostbusters"" (1984)', '""Jurassic Park"" (1993)', '""The Exorcist"" (1973)', '""Die Hard"" (1988)', '""Airplane!"" (1980)', '""The Princess Bride"" (1987)', '""Beetlejuice"" (1988)', '""The Terminator"" (1984)']"
31,Male,Young (21-40 years),"[483, 64, 318, 133, 1127, 644]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The Godfather"" (1972)', '""Gone with the Wind"" (1939)', '""The Truman Show"" (1998)', '""The Social Network"" (2010)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Thin Blue Line"" (1988)', '""The Pianist"" (2002)']"
33,Male,Young (21-40 years),"[12, 1362, 1278, 98, 79]","['The Usual Suspects (1995)', 'American History X (1998)', 'Se7en (1995)', 'The Sixth Sense (1999)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'The Fugitive (1993)', 'The Blair Witch Project (1999)', 'A Few Good Men (1992)', 'The Game (1997)']"
45,Male,Young (21-40 years),"[69, 173, 202, 216, 204, 1127, 902, 272, 64, 514]","['""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""Back to the Future"" (1985)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)', '""Good Will Hunting"" (1997)', '""The Shawshank Redemption"" (1994)', '""Annie Hall"" (1977)', ""Each movie offers a mix of entertainment, engaging storytelling, and memorable characters that align with the user's preferences.""]"
47,Male,Adult (41-60 years),"[100, 12, 272, 346, 316, 257, 293, 1127, 1585]","['Fargo (1996)', 'The Usual Suspects (1995)', 'Good Will Hunting (1997)', 'Jackie Brown (1997)', 'As Good as It Gets (1997)', 'The Game (1997)', 'Men in Black (1997)', 'Donnie Brasco (1997)', 'The Truman Show (1998)', 'American Beauty (1999)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 257, 272, 298, 316, 250, 293, 346, 248]","['L.A. Confidential (1997)', 'Men in Black (1997)', 'Good Will Hunting (1997)', 'Face/Off (1997)', 'As Good as It Gets (1997)', 'The Fifth Element (1997)', 'Donnie Brasco (1997)', 'Jackie Brown (1997)', 'Grosse Pointe Blank (1997)', 'The Game (1997)']"
67,Male,Teenager (0-20 years),"[257, 249, 755, 780, 288, 67, 250, 367]","['Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'Jumanji (1995)', 'Dumb and Dumber (1994)', 'The Mask (1994)', 'Scream (1996)', 'Rush Hour (1998)', 'Ace Ventura: Pet Detective (1994)', 'The Fifth Element (1997)', 'Clueless (1995)']"
69,Male,Young (21-40 years),"[56, 64, 144, 174, 127, 82, 182, 22, 96]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'The Godfather (1972)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Goodfellas (1990)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)']"
72,Female,Adult (41-60 years),"[64, 483, 98, 521, 12]","['""Saving Private Ryan"" (1998)', '""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Casablanca"" (1942)', '""The Silence of the Lambs"" (1991)', '""Gladiator"" (2000)', '""The Deer Hunter"" (1978)', '""A Few Good Men"" (1992)', '""The Usual Suspects"" (1995)', '""The Green Mile"" (1999)']"
73,Male,Young (21-40 years),"[69, 1127, 64, 902, 173, 89, 483]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Amélie"" (2001)', '""The Shawshank Redemption"" (1994)', '""The Big Lebowski"" (1998)', '""The Princess Bride"" (1987)', '""Blade Runner"" (1982)', '""The Godfather"" (1972)', '""Casablanca"" (1942)']"
75,Male,Young (21-40 years),"[69, 64, 56, 272, 202, 1127, 902, 173, 204]","['""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Good Will Hunting"" (1997)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Princess Bride"" (1987)', '""Back to the Future"" (1985)']"
82,Male,Adult (41-60 years),"[64, 173, 272, 514, 1127, 902, 1127]","['""The Shawshank Redemption"" (1994)', '""The Princess Bride"" (1987)', '""Good Will Hunting"" (1997)', '""Annie Hall"" (1977)', '""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""The Godfather"" (1972)', 'It offers a compelling story and memorable performances.', '""The Green Mile"" (1999)', '""The Truman Show"" (1998)']"
83,Male,Young (21-40 years),"[202, 216, 173, 367, 514, 354, 316, 88]","['""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Princess Bride"" (1987)', '""Clueless"" (1995)', '""Annie Hall"" (1977)', '""The Wedding Singer"" (1998)', '""As Good as It Gets"" (1997)', '""Moonstruck"" (1987)', '""An Officer and a Gentleman"" (1982)', '""Sleepless in Seattle"" (1993)']"
89,Female,Adult (41-60 years),"[286, 216, 70, 86, 514, 387, 955]","['""The English Patient"" (1996)', '""When Harry Met Sally..."" (1989)', '""Four Weddings and a Funeral"" (1994)', '""Notting Hill"" (1999)', '""The Remains of the Day"" (1993)', '""Shakespeare in Love"" (1998)', '""Annie Hall"" (1977)', '""The Age of Innocence"" (1993)', '""Moonstruck"" (1987)', '""Before Sunrise"" (1995)']"
91,Male,Adult (41-60 years),"[64, 82, 56, 204, 483, 174, 172, 69, 520]","['""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Jurassic Park"" (1993)', '""Pulp Fiction"" (1994)', '""Back to the Future"" (1985)', '""Casablanca"" (1942)', '""Raiders of the Lost Ark"" (1981)', '""The Empire Strikes Back"" (1980)', '""Forrest Gump"" (1994)', '""The Great Escape"" (1963)']"
95,Male,Young (21-40 years),[],[]
