userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[56, 98, 144, 302, 96, 273, 79, 64]","['Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Die Hard (1988)', 'The Matrix (1999)', 'L.A. Confidential (1997)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Heat (1995)', 'The Fugitive (1993)', 'The Shawshank Redemption (1994)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 496, 64, 69, 187, 1127, 71, 173]","['Casablanca (1942)', ""It's a Wonderful Life (1946)"", 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Godfather: Part II (1974)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'The Lion King (1994)', 'The Princess Bride (1987)', 'The Notebook (2004)']"
20,Female,Adult (41-60 years),"[64, 56, 127, 182, 318, 98, 69]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Fight Club (1999)', 'The Dark Knight (2008)', 'Goodfellas (1990)', 'The Matrix (1999)', ""Schindler's List (1993)"", 'The Silence of the Lambs (1991)', 'Forrest Gump (1994)']"
22,Male,Young (21-40 years),"[204, 82, 173, 257, 195, 174, 144]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Jurassic Park (1993)', 'The Princess Bride (1987)', 'Men in Black (1997)', 'The Terminator (1984)', 'Raiders of the Lost Ark (1981)', 'The Matrix (1999)', 'Die Hard (1988)', 'Star Wars: Episode IV - A New Hope (1977)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 22, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Se7en (1995)']"
28,Male,Young (21-40 years),"[82, 204, 174, 98, 219, 144]","['The Thing (1982)', 'Jurassic Park (1993)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'The Exorcist (1973)', 'Raiders of the Lost Ark (1981)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'A Nightmare on Elm Street (1984)', 'Die Hard (1988)']"
31,Male,Young (21-40 years),"[483, 127, 318, 64, 56, 69, 98, 182]","['Casablanca (1942)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Departed (2006)']"
33,Male,Young (21-40 years),"[302, 1362, 12, 1278, 64, 56, 98, 273]","['L.A. Confidential (1997)', 'The Sixth Sense (1999)', 'American History X (1998)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'Se7en (1995)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Heat (1995)']"
45,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 173, 202, 902, 216, 204]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'When Harry Met Sally... (1989)', 'Back to the Future (1985)']"
47,Male,Adult (41-60 years),"[100, 272, 346, 316, 269, 293, 896, 248, 246]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'Jackie Brown (1997)', 'As Good as It Gets (1997)', 'The Full Monty (1997)', 'Donnie Brasco (1997)', 'The Sweet Hereafter (1997)', 'Grosse Pointe Blank (1997)', 'Chasing Amy (1997)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 257, 316, 298, 1127, 269, 310, 347]","['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Men in Black (1997)', 'As Good as It Gets (1997)', 'Face/Off (1997)', 'The Truman Show (1998)', 'The Full Monty (1997)', 'The Rainmaker (1997)', 'The Game (1997)', 'Wag the Dog (1997)']"
67,Male,Teenager (0-20 years),"[257, 249, 294, 250, 780, 385, 67, 27, 411]","['Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'Liar Liar (1997)', 'The Fifth Element (1997)', 'The Mask (1994)', 'Dumb and Dumber (1994)', 'True Lies (1994)', 'Ace Ventura: Pet Detective (1994)', 'Bad Boys (1995)', 'The Nutty Professor (1996)']"
69,Male,Young (21-40 years),"[56, 64, 127, 182, 98, 1278, 12, 156]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Godfather (1972)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Seven (1995)', 'The Usual Suspects (1995)', 'Reservoir Dogs (1992)']"
72,Female,Adult (41-60 years),"[483, 64, 318, 127, 69, 56, 98, 12, 272]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', ""Schindler's List (1993)"", 'The Godfather (1972)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Green Mile (1999)', 'The Usual Suspects (1995)', 'Good Will Hunting (1997)']"
73,Male,Young (21-40 years),"[64, 56, 272, 197, 474, 179, 187, 100, 154, 171]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Graduate (1967)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)', 'A Clockwork Orange (1971)', 'The Godfather: Part II (1974)', 'Fargo (1996)', ""Monty Python's Life of Brian (1979)"", 'Delicatessen (1991)']"
75,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 202, 173, 204, 71, 902]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'Back to the Future (1985)', 'The Lion King (1994)', 'The Big Lebowski (1998)']"
82,Male,Adult (41-60 years),"[64, 56, 127, 182, 98, 1127, 173, 202]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Princess Bride (1987)', 'Groundhog Day (1993)']"
83,Male,Young (21-40 years),"[202, 173, 204, 71, 367, 393]","[""'Groundhog Day (1993)"", ""'The Princess Bride (1987)"", ""'Back to the Future (1985)"", ""'Ferris Bueller's Day Off (1986)"", ""'The Lion King (1994)"", ""'Ghostbusters (1984)"", ""'The Mask (1994)"", ""'Clueless (1995)"", ""'The Addams Family (1991)"", ""'Mrs. Doubtfire (1993)""]"
89,Female,Adult (41-60 years),"[64, 955, 173]","['""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Before Sunrise"" (1995)', '""Amélie"" (2001)', '""The Princess Bride"" (1987)', '""Silver Linings Playbook"" (2012)', '""500 Days of Summer"" (2009)', '""Lost in Translation"" (2003)', '""The Notebook"" (2004)', '""La La Land"" (2016)']"
91,Male,Adult (41-60 years),"[64, 69, 318, 56, 82, 127, 187, 357, 483, 134]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', ""Schindler's List (1993)"", 'Pulp Fiction (1994)', 'Jurassic Park (1993)', 'The Godfather (1972)', 'The Godfather: Part II (1974)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Casablanca (1942)', 'Citizen Kane (1941)']"
95,Male,Young (21-40 years),[],[]
96,Female,Young (21-40 years),"[204, 173, 56, 98, 69, 64, 82, 195]","['Back to the Future (1985)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Breakfast Club (1985)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'The Terminator (1984)']"
97,Male,Adult (41-60 years),"[204, 173, 64, 423, 127, 56, 195, 174, 98]","['Back to the Future (1985)', 'The Princess Bride (1987)', 'The Shawshank Redemption (1994)', 'E.T. the Extra-Terrestrial (1982)', 'The Matrix (1999)', 'The Godfather (1972)', 'Pulp Fiction (1994)', 'The Terminator (1984)', 'Raiders of the Lost Ark (1981)', 'The Silence of the Lambs (1991)']"
101,Male,Teenager (0-20 years),"[69, 64, 56, 272, 1127, 202, 173, 216, 88, 354]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'The Wedding Singer (1998)']"
105,Male,Young (21-40 years),"[1585, 1127, 1273, 902]","['The Matrix (1999)', 'Fight Club (1999)', 'American Beauty (1999)', 'The Sixth Sense (1999)', 'The Truman Show (1998)', 'Lock, Stock and Two Smoking Barrels (1998)', 'Run Lola Run (1998)', 'Out of Sight (1998)', 'The Big Lebowski (1998)', 'Shakespeare in Love (1998)']"
106,Male,Adult (41-60 years),"[64, 69, 196, 191, 22, 660, 162, 647, 739]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Dead Poets Society (1989)', 'Amadeus (1984)', 'Braveheart (1995)', 'Fried Green Tomatoes (1991)', 'On Golden Pond (1981)', 'Ran (1985)', 'The Sting (1973)', 'Pretty Woman (1990)', ""The recommendations aim to provide a diverse selection of movies that align with the user's interests while ensuring fairness by not disproportionately favoring or disfavoring movies based on sensitive attributes.""]"
110,Male,Teenager (0-20 years),"[64, 82, 28, 22, 568, 423, 88, 402, 79, 96]","['The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'Apollo 13 (1995)', 'Braveheart (1995)', 'Speed (1994)', 'E.T. the Extra-Terrestrial (1982)', 'Sleepless in Seattle (1993)', 'Ghost (1990)', 'The Fugitive (1993)', 'Terminator 2: Judgment Day (1991)']"
114,Male,Young (21-40 years),"[174, 64, 127, 98, 272, 12]","['Raiders of the Lost Ark (1981)', 'The Shawshank Redemption (1994)', 'The Godfather (1972)', 'The Dark Knight (2008)', 'Inception (2010)', 'The Matrix (1999)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'Good Will Hunting (1997)', 'The Usual Suspects (1995)']"
116,Male,Young (21-40 years),"[483, 187, 318, 56, 64, 69, 98, 182, 12]","['Casablanca (1942)', 'The Godfather: Part II (1974)', ""Schindler's List (1993)"", 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Usual Suspects (1995)']"
119,Male,Young (21-40 years),"[483, 496, 482, 197, 514, 216, 202, 1127]","['Casablanca (1942)', ""It's a Wonderful Life (1946)"", 'Some Like It Hot (1959)', 'The Graduate (1967)', 'Annie Hall (1977)', 'When Harry Met Sally... (1989)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'La La Land (2016)']"
125,Male,Young (21-40 years),"[173, 202, 216, 520, 143, 496, 435, 498, 186]","['The Princess Bride (1987)', 'Groundhog Day (1993)', 'When Harry Met Sally... (1989)', 'The Great Escape (1963)', 'The Sound of Music (1965)', ""It's a Wonderful Life (1946)"", 'The Sting (1973)', 'Butch Cassidy and the Sundance Kid (1969)', 'The African Queen (1951)', 'The Blues Brothers (1980)']"
129,Female,Young (21-40 years),"[237, 316, 269, 255, 1127, 246, 354]","['Jerry Maguire (1996)', 'As Good as It Gets (1997)', 'The Full Monty (1997)', ""My Best Friend's Wedding (1997)"", 'The Truman Show (1998)', 'Life is Beautiful (1997)', 'Chasing Amy (1997)', 'The Wedding Singer (1998)', 'Shakespeare in Love (1998)', 'The Mask of Zorro (1998)']"
130,Male,Teenager (0-20 years),[],[]
133,Male,Adult (41-60 years),"[257, 250, 294, 1127]","['Men in Black (1997)', 'The Fifth Element (1997)', 'Liar Liar (1997)', 'The Truman Show (1998)', 'Rush Hour (1998)', 'The Mask of Zorro (1998)', 'Armageddon (1998)', 'The Parent Trap (1998)', 'The Negotiator (1998)', 'The Prince of Egypt (1998)']"
143,Male,Adult (41-60 years),"[100, 1127, 1585, 902, 269, 316, 64]","['Fargo (1996)', 'The Truman Show (1998)', 'American Beauty (1999)', 'The Big Lebowski (1998)', 'Life is Beautiful (1997)', 'The Full Monty (1997)', 'As Good as It Gets (1997)', 'The Sixth Sense (1999)', 'Shakespeare in Love (1998)', 'The Shawshank Redemption (1994)']"
144,Male,Adult (41-60 years),[],[]
148,Male,Young (21-40 years),"[1, 71, 95, 588, 143, 423, 132]","['Toy Story (1995)', 'The Lion King (1994)', 'Aladdin (1992)', 'The Little Mermaid (1989)', 'Beauty and the Beast (1991)', 'The Sound of Music (1965)', 'E.T. the Extra-Terrestrial (1982)', 'The Princess Diaries (2001)', 'The Parent Trap (1998)', 'The Wizard of Oz (1939)']"
159,Female,Young (21-40 years),"[367, 354, 255, 88, 739, 70]","['Clueless (1995)', 'The Wedding Singer (1998)', ""My Best Friend's Wedding (1997)"", 'Notting Hill (1999)', '10 Things I Hate About You (1999)', ""There's Something About Mary (1998)"", 'Sleepless in Seattle (1993)', 'Pretty Woman (1990)', 'Four Weddings and a Funeral (1994)', ""Bridget Jones's Diary (2001)""]"
162,Male,Young (21-40 years),"[300, 385, 257, 250, 249, 96, 226, 186]","['Air Force One (1997)', 'True Lies (1994)', 'Men in Black (1997)', 'The Fifth Element (1997)', 'Austin Powers: International Man of Mystery (1997)', 'The Mask (1994)', 'Terminator 2: Judgment Day (1991)', 'Ghostbusters (1984)', 'Die Hard 2 (1990)', 'The Blues Brothers (1980)']"
164,Male,Adult (41-60 years),"[144, 56, 64, 182, 82, 98, 22]","['Die Hard (1988)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Lethal Weapon (1987)', 'The Matrix (1999)', 'Goodfellas (1990)', 'Jurassic Park (1993)', 'The Silence of the Lambs (1991)', 'Braveheart (1995)', 'Fight Club (1999)']"
166,Male,Adult (41-60 years),"[257, 250, 249, 1127, 316, 255, 354]","['Men in Black (1997)', 'The Fifth Element (1997)', 'Austin Powers: International Man of Mystery (1997)', 'The Truman Show (1998)', 'As Good as It Gets (1997)', ""My Best Friend's Wedding (1997)"", 'The Mask of Zorro (1998)', 'The Wedding Singer (1998)', ""There's Something About Mary (1998)"", 'Rush Hour (1998)']"
168,Male,Adult (41-60 years),"[56, 64, 69, 98, 182, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'The Sixth Sense (1999)']"
169,Female,Adult (41-60 years),"[483, 64, 69, 56, 187, 318, 98, 182]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)', ""Schindler's List (1993)"", 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Departed (2006)']"
170,Female,Adult (41-60 years),"[302, 79, 12, 1278, 273, 98, 591, 64]","['L.A. Confidential (1997)', 'The Fugitive (1993)', 'The Sixth Sense (1999)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'Heat (1995)', 'A Few Good Men (1992)', 'The Silence of the Lambs (1991)', 'Primal Fear (1996)', 'The Shawshank Redemption (1994)']"
172,Male,Adult (41-60 years),"[604, 487, 131, 527, 216, 88, 70, 275]","['It Happened One Night (1934)', 'Roman Holiday (1953)', ""Breakfast at Tiffany's (1961)"", 'Annie (1982)', 'When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'Four Weddings and a Funeral (1994)', 'Sense and Sensibility (1995)', 'Notting Hill (1999)', 'Shakespeare in Love (1998)']"
178,Male,Young (21-40 years),[],[]
185,Female,Adult (41-60 years),"[64, 69, 56, 272, 1127, 1585]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'American Beauty (1999)', 'The Departed (2006)', 'The Social Network (2010)', 'The Grand Budapest Hotel (2014)']"
199,Male,Young (21-40 years),"[69, 64, 56, 1, 71, 272, 1127, 902, 393]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'The Lion King (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'The Mask (1994)', 'Mrs. Doubtfire (1993)']"
206,Female,Teenager (0-20 years),"[316, 1127, 269, 272, 302, 246, 354, 255]","['Shakespeare in Love (1998)', 'As Good as It Gets (1997)', 'Life is Beautiful (1997)', 'The Truman Show (1998)', 'The Full Monty (1997)', 'Good Will Hunting (1997)', 'L.A. Confidential (1997)', 'Chasing Amy (1997)', 'The Wedding Singer (1998)', ""My Best Friend's Wedding (1997)""]"
208,Male,Adult (41-60 years),"[604, 527, 173, 70, 202, 216, 88, 1127, 316]","['It Happened One Night (1934)', 'Annie (1982)', 'Moonstruck (1987)', 'The Princess Bride (1987)', 'Four Weddings and a Funeral (1994)', 'Groundhog Day (1993)', 'When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'The Truman Show (1998)', 'As Good as It Gets (1997)']"
