userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 96, 22, 56, 98, 273]","['The Fugitive (1993)', 'Die Hard (1988)', 'Lethal Weapon (1987)', 'Terminator 2: Judgment Day (1991)', 'Braveheart (1995)', 'The Matrix (1999)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Heat (1995)', 'Fight Club (1999)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 496, 64, 69, 187, 56, 1127, 272, 71]","['Casablanca (1942)', ""It's a Wonderful Life (1946)"", 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Godfather: Part II (1974)', 'Pulp Fiction (1994)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'Good Will Hunting (1997)', 'The Lion King (1994)']"
20,Female,Adult (41-60 years),"[64, 56, 127, 182, 318, 98, 69]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Fight Club (1999)', 'The Dark Knight (2008)', 'Goodfellas (1990)', 'The Matrix (1999)', ""Schindler's List (1993)"", 'The Silence of the Lambs (1991)', 'Forrest Gump (1994)']"
22,Male,Young (21-40 years),"[204, 82, 173, 257, 195, 174, 144]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Jurassic Park (1993)', 'The Princess Bride (1987)', 'Men in Black (1997)', 'The Terminator (1984)', 'Raiders of the Lost Ark (1981)', 'The Matrix (1999)', 'Die Hard (1988)', 'Star Wars: Episode IV - A New Hope (1977)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 22, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Se7en (1995)']"
28,Male,Young (21-40 years),"[174, 204, 82, 64, 98]","['The Exorcist (1973)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'The Sixth Sense (1999)', 'Fight Club (1999)', 'The Shawshank Redemption (1994)', 'The Silence of the Lambs (1991)']"
31,Male,Young (21-40 years),"[483, 127, 318, 64, 56, 69, 98, 182]","['Casablanca (1942)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Departed (2006)']"
33,Male,Young (21-40 years),"[302, 1362, 12, 1278, 64, 56, 98, 273]","['L.A. Confidential (1997)', 'The Sixth Sense (1999)', 'American History X (1998)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'Se7en (1995)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Heat (1995)']"
45,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 173, 202, 902, 216, 204]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'When Harry Met Sally... (1989)', 'Back to the Future (1985)']"
47,Male,Adult (41-60 years),"[100, 272, 346, 316, 269, 293, 248, 896, 246]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'Jackie Brown (1997)', 'As Good as It Gets (1997)', 'The Full Monty (1997)', 'Donnie Brasco (1997)', 'Grosse Pointe Blank (1997)', 'The Sweet Hereafter (1997)', 'Chasing Amy (1997)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 257, 316, 298, 1127, 269, 310, 347]","['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Men in Black (1997)', 'As Good as It Gets (1997)', 'Face/Off (1997)', 'The Truman Show (1998)', 'The Full Monty (1997)', 'The Rainmaker (1997)', 'The Game (1997)', 'Wag the Dog (1997)']"
67,Male,Teenager (0-20 years),"[257, 249, 294, 250, 780, 385, 67, 27, 411]","['Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'Liar Liar (1997)', 'The Fifth Element (1997)', 'The Mask (1994)', 'Dumb and Dumber (1994)', 'True Lies (1994)', 'Ace Ventura: Pet Detective (1994)', 'Bad Boys (1995)', 'The Nutty Professor (1996)']"
69,Male,Young (21-40 years),"[56, 64, 127, 182, 98, 1278, 12, 156]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Godfather (1972)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Seven (1995)', 'The Usual Suspects (1995)', 'Reservoir Dogs (1992)']"
72,Female,Adult (41-60 years),"[483, 64, 318, 127, 69, 56, 98]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', ""Schindler's List (1993)"", 'The Godfather (1972)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Green Mile (1999)', 'Saving Private Ryan (1998)', 'The Departed (2006)']"
73,Male,Young (21-40 years),"[64, 56, 272, 197, 474, 179, 187, 100, 154, 12]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Graduate (1967)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)', 'A Clockwork Orange (1971)', 'The Godfather: Part II (1974)', 'Fargo (1996)', ""Monty Python's Life of Brian (1979)"", 'The Usual Suspects (1995)']"
75,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 202, 173, 204, 71, 902]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'Back to the Future (1985)', 'The Lion King (1994)', 'The Big Lebowski (1998)']"
82,Male,Adult (41-60 years),"[64, 56, 127, 182, 98, 1127, 173, 202]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Princess Bride (1987)', 'Groundhog Day (1993)']"
83,Male,Young (21-40 years),"[173, 202, 204, 1127, 367, 354]","['The Princess Bride (1987)', 'Groundhog Day (1993)', 'Back to the Future (1985)', 'The Truman Show (1998)', ""Ferris Bueller's Day Off (1986)"", 'The Mask (1994)', 'Ghostbusters (1984)', 'Clueless (1995)', 'The Wedding Singer (1998)', 'Beetlejuice (1988)']"
89,Female,Adult (41-60 years),"[64, 955, 173, 1127]","['""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Before Sunrise"" (1995)', '""Amélie"" (2001)', '""The Princess Bride"" (1987)', '""Silver Linings Playbook"" (2012)', '""500 Days of Summer"" (2009)', '""Lost in Translation"" (2003)', '""The Truman Show"" (1998)', '""The Perks of Being a Wallflower"" (2012)']"
91,Male,Adult (41-60 years),"[64, 69, 318, 56, 82, 127, 187, 357, 483, 134]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', ""Schindler's List (1993)"", 'Pulp Fiction (1994)', 'Jurassic Park (1993)', 'The Godfather (1972)', 'The Godfather: Part II (1974)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Casablanca (1942)', 'Citizen Kane (1941)']"
95,Male,Young (21-40 years),[],[]
