userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 96, 56, 98, 273, 82]","['The Fugitive (1993)', 'Die Hard (1988)', 'Lethal Weapon (1987)', 'Terminator 2: Judgment Day (1991)', 'The Matrix (1999)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Heat (1995)', 'Jurassic Park (1993)', 'Fight Club (1999)', 'Enjoy watching!']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[69, 64, 483, 182, 187, 496, 197, 173, 1127]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Casablanca (1942)', 'Goodfellas (1990)', 'The Godfather: Part II (1974)', ""It's a Wonderful Life (1946)"", 'The Graduate (1967)', 'The Princess Bride (1987)', 'The Green Mile (1999)', 'The Truman Show (1998)']"
20,Female,Adult (41-60 years),"[64, 56, 127, 182, 98]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Fight Club (1999)', 'The Dark Knight (2008)', 'Inception (2010)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Departed (2006)']"
22,Male,Young (21-40 years),"[204, 257, 173, 174, 195, 82, 144, 250]","['Ghostbusters (1984)', 'Back to the Future (1985)', 'Men in Black (1997)', 'The Princess Bride (1987)', 'Raiders of the Lost Ark (1981)', 'The Terminator (1984)', 'Jurassic Park (1993)', 'Die Hard (1988)', 'The Fifth Element (1997)', 'Star Wars: Episode IV - A New Hope (1977)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 22, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'Enjoy watching!']"
28,Male,Young (21-40 years),"[174, 204, 82, 195, 219, 98]","['The Thing (1982)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'The Exorcist (1973)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'A Nightmare on Elm Street (1984)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)']"
31,Male,Young (21-40 years),"[483, 133, 127, 318, 64, 56, 69, 98, 1127]","['Casablanca (1942)', 'Gone with the Wind (1939)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'The Green Mile (1999)']"
33,Male,Young (21-40 years),"[12, 1278, 302, 1362, 98, 64]","['The Usual Suspects (1995)', 'Se7en (1995)', 'L.A. Confidential (1997)', 'The Sixth Sense (1999)', 'Fight Club (1999)', 'American History X (1998)', 'The Silence of the Lambs (1991)', 'The Shawshank Redemption (1994)', 'Memento (2000)', 'The Green Mile (1999)']"
45,Male,Young (21-40 years),"[202, 69, 173, 204, 216, 1127, 902, 64, 56]","['""Groundhog Day"" (1993)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""Back to the Future"" (1985)', '""When Harry Met Sally..."" (1989)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Breakfast Club"" (1985)']"
47,Male,Adult (41-60 years),"[100, 272, 12, 475, 346, 902, 1127, 1585]","['Fargo (1996)', 'The Game (1997)', 'Good Will Hunting (1997)', 'The Usual Suspects (1995)', 'Trainspotting (1996)', 'Jackie Brown (1997)', 'The Big Lebowski (1998)', 'The Truman Show (1998)', 'American Beauty (1999)', 'Fight Club (1999)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 257, 298, 316, 250, 346, 1127, 269]","['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Men in Black (1997)', 'Face/Off (1997)', 'As Good as It Gets (1997)', 'The Fifth Element (1997)', 'Jackie Brown (1997)', 'The Truman Show (1998)', 'The Full Monty (1997)', 'The Game (1997)']"
67,Male,Teenager (0-20 years),"[257, 249, 294, 250, 385, 780, 27, 67]","['Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'Liar Liar (1997)', 'The Fifth Element (1997)', 'Rush Hour (1998)', 'The Mask (1994)', 'True Lies (1994)', 'Dumb and Dumber (1994)', 'Bad Boys (1995)', 'Ace Ventura: Pet Detective (1994)']"
69,Male,Young (21-40 years),"[56, 64, 127, 182, 98, 1278, 12, 156]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Godfather (1972)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Seven (1995)', 'The Usual Suspects (1995)', 'Reservoir Dogs (1992)']"
72,Female,Adult (41-60 years),"[483, 64, 56, 318, 180, 182, 89, 12]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather"" (1972)', '""Schindler\'s List"" (1993)', '""The Graduate"" (1967)', '""Apocalypse Now"" (1979)', '""Goodfellas"" (1990)', '""Blade Runner"" (1982)', '""The Usual Suspects"" (1995)', 'Enjoy watching!']"
73,Male,Young (21-40 years),"[64, 56, 187, 474, 179, 154, 180, 357, 12]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather: Part II"" (1974)', '""Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"" (1963)', '""A Clockwork Orange"" (1971)', '""The Graduate"" (1967)', '""Monty Python\'s Life of Brian"" (1979)', '""Apocalypse Now"" (1979)', '""One Flew Over the Cuckoo\'s Nest"" (1975)', '""The Usual Suspects"" (1995)']"
