userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 96, 22, 56, 98, 82]","['The Fugitive (1993)', 'Die Hard (1988)', 'Terminator 2: Judgment Day (1991)', 'Lethal Weapon (1987)', 'The Matrix (1999)', 'Braveheart (1995)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Jurassic Park (1993)', 'Fight Club (1999)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[69, 64, 56, 272, 1127, 22, 71]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'Braveheart (1995)', 'The Green Mile (1999)', 'The Lion King (1994)', 'The Matrix (1999)', 'Fight Club (1999)']"
20,Female,Adult (41-60 years),"[64, 56, 127, 182, 98]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Fight Club (1999)', 'The Dark Knight (2008)', 'Inception (2010)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Departed (2006)']"
22,Male,Young (21-40 years),"[204, 82, 257, 550, 173, 174, 96, 64]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Men in Black (1997)', 'Die Hard with a Vengeance (1995)', 'The Princess Bride (1987)', 'Raiders of the Lost Ark (1981)', 'Terminator 2: Judgment Day (1991)', 'The Shawshank Redemption (1994)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 12, 22]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Matrix (1999)', 'Fight Club (1999)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Sixth Sense (1999)']"
28,Male,Young (21-40 years),"[82, 204, 144, 195, 200, 183, 234]","['The Matrix (1999)', 'Jurassic Park (1993)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'Die Hard (1988)', 'The Terminator (1984)', 'Indiana Jones and the Raiders of the Lost Ark (1981)', 'The Shining (1980)', 'Alien (1979)', 'Jaws (1975)']"
31,Male,Young (21-40 years),"[483, 133, 64, 127, 318, 56, 98, 69]","['Casablanca (1942)', 'Gone with the Wind (1939)', 'The Shawshank Redemption (1994)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Forrest Gump (1994)', 'The Green Mile (1999)', 'The Departed (2006)']"
33,Male,Young (21-40 years),"[1362, 64, 1278, 12, 56, 98]","['The Sixth Sense (1999)', 'American History X (1998)', 'Fight Club (1999)', 'The Shawshank Redemption (1994)', 'Se7en (1995)', 'The Usual Suspects (1995)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Memento (2000)', 'The Green Mile (1999)']"
45,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 173, 202, 902, 71]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'The Lion King (1994)']"
47,Male,Adult (41-60 years),"[100, 272, 316, 346, 269, 298, 896, 248, 1127]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'As Good as It Gets (1997)', 'Jackie Brown (1997)', 'The Full Monty (1997)', 'Face/Off (1997)', 'The Sweet Hereafter (1997)', 'Grosse Pointe Blank (1997)', 'The Truman Show (1998)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 257, 298, 272, 346, 316, 250, 1127]","['L.A. Confidential (1997)', 'Men in Black (1997)', 'Face/Off (1997)', 'Good Will Hunting (1997)', 'Jackie Brown (1997)', 'As Good as It Gets (1997)', 'The Fifth Element (1997)', 'The Truman Show (1998)', 'The Negotiator (1998)', 'The Mask of Zorro (1998)']"
67,Male,Teenager (0-20 years),"[257, 249, 294, 250, 298, 300, 1016, 252, 313, 272]","['Men in Black (1997)', 'Austin Powers: International Man of Mystery (1997)', 'Liar Liar (1997)', 'The Fifth Element (1997)', 'Face/Off (1997)', 'Air Force One (1997)', 'Con Air (1997)', 'The Lost World: Jurassic Park (1997)', 'Titanic (1997)', 'Good Will Hunting (1997)']"
69,Male,Young (21-40 years),"[56, 64, 127, 182, 98, 1278, 12, 156]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Seven (1995)', 'The Usual Suspects (1995)', 'Reservoir Dogs (1992)']"
72,Female,Adult (41-60 years),"[483, 64, 127, 318, 98, 22]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', 'Saving Private Ryan (1998)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'The Silence of the Lambs (1991)', 'Braveheart (1995)', 'Gladiator (2000)', 'The Departed (2006)', 'The Dark Knight (2008)']"
73,Male,Young (21-40 years),"[64, 56, 272, 197, 171, 154, 187, 507, 660, 81]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Graduate (1967)', 'Delicatessen (1991)', ""Monty Python's Life of Brian (1979)"", 'The Godfather: Part II (1974)', 'A Streetcar Named Desire (1951)', 'Fried Green Tomatoes (1991)', 'The Hudsucker Proxy (1994)']"
75,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 71, 902, 202, 173]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'The Lion King (1994)', 'The Big Lebowski (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)']"
82,Male,Adult (41-60 years),"[64, 56, 182, 187, 98, 100, 1585]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Goodfellas (1990)', 'The Godfather: Part II (1974)', 'The Silence of the Lambs (1991)', 'The Green Mile (1999)', 'Fargo (1996)', 'American Beauty (1999)', 'The Departed (2006)', 'No Country for Old Men (2007)']"
83,Male,Young (21-40 years),"[202, 173, 204, 367, 354]","[""'Groundhog Day (1993)"", ""'The Princess Bride (1987)"", ""'Back to the Future (1985)"", ""'Clueless (1995)"", ""'The Mask (1994)"", ""'Ferris Bueller's Day Off (1986)"", ""'The Wedding Singer (1998)"", ""'Ghostbusters (1984)"", ""'Wayne's World (1992)"", ""'The Goonies (1985)""]"
89,Female,Adult (41-60 years),"[286, 70, 216, 88, 739, 955]","['The English Patient (1996)', 'Four Weddings and a Funeral (1994)', 'Notting Hill (1999)', 'When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'Pretty Woman (1990)', 'Love Actually (2003)', 'The Notebook (2004)', 'Before Sunrise (1995)', 'Eternal Sunshine of the Spotless Mind (2004)']"
91,Male,Adult (41-60 years),"[64, 69, 318, 56, 82, 127, 187, 172, 181, 132]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', ""Schindler's List (1993)"", 'Pulp Fiction (1994)', 'Jurassic Park (1993)', 'The Godfather (1972)', 'The Godfather: Part II (1974)', 'The Empire Strikes Back (1980)', 'The Return of the Jedi (1983)', 'The Wizard of Oz (1939)']"
95,Male,Young (21-40 years),[],[]
96,Female,Young (21-40 years),"[204, 173, 56, 64, 69]","['Back to the Future (1985)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Fight Club (1999)', 'The Dark Knight (2008)', 'Inception (2010)', 'La La Land (2016)']"
97,Male,Adult (41-60 years),"[204, 173, 64, 82, 195, 174, 423, 127, 56]","['Back to the Future (1985)', 'The Princess Bride (1987)', 'The Shawshank Redemption (1994)', 'The Matrix (1999)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'Raiders of the Lost Ark (1981)', 'E.T. the Extra-Terrestrial (1982)', 'The Godfather (1972)', 'Pulp Fiction (1994)']"
