userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 96, 1067, 385, 273, 22, 568]","['The Fugitive (1993)', 'Die Hard (1988)', 'Terminator 2: Judgment Day (1991)', 'Lethal Weapon (1987)', 'The Rock (1996)', 'True Lies (1994)', 'The Matrix (1999)', 'Heat (1995)', 'Braveheart (1995)', 'Speed (1994)', 'Enjoy watching!']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[69, 64, 483, 272, 496, 173, 1127]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Casablanca (1942)', 'Good Will Hunting (1997)', ""It's a Wonderful Life (1946)"", 'The Princess Bride (1987)', 'The Truman Show (1998)', 'The Breakfast Club (1985)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Green Mile (1999)', 'Enjoy!']"
20,Female,Adult (41-60 years),"[64, 56, 127, 182, 22, 98, 174]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Matrix (1999)', 'Goodfellas (1990)', 'Braveheart (1995)', 'The Silence of the Lambs (1991)', 'Raiders of the Lost Ark (1981)']"
22,Male,Young (21-40 years),"[204, 257, 173, 174, 82, 195, 144]","['Ghostbusters (1984)', 'Back to the Future (1985)', 'Men in Black (1997)', 'The Princess Bride (1987)', 'Raiders of the Lost Ark (1981)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'Die Hard (1988)', 'The Matrix (1999)', 'Star Wars: Episode IV - A New Hope (1977)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 22, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Se7en (1995)']"
28,Male,Young (21-40 years),"[174, 204, 82, 195, 200, 176, 234]","['The Thing (1982)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'The Exorcist (1973)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'The Shining (1980)', 'Aliens (1986)', 'Jaws (1975)']"
31,Male,Young (21-40 years),"[483, 64, 318, 127, 56, 1127, 272]","['Casablanca (1942)', 'The Shawshank Redemption (1994)', ""Schindler's List (1993)"", 'The Godfather (1972)', 'The Notebook (2004)', 'Pulp Fiction (1994)', 'The Social Network (2010)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Good Will Hunting (1997)', 'Enjoy!']"
33,Male,Young (21-40 years),"[1362, 12, 1278, 98, 56, 64, 79]","['The Sixth Sense (1999)', 'American History X (1998)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'Se7en (1995)', 'The Silence of the Lambs (1991)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'The Fugitive (1993)', 'The Blair Witch Project (1999)']"
