userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 96, 22, 56, 64, 82]","['The Fugitive (1993)', 'Die Hard (1988)', 'Terminator 2: Judgment Day (1991)', 'Lethal Weapon (1987)', 'The Matrix (1999)', 'Braveheart (1995)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'Fight Club (1999)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 496, 64, 69, 187, 173]","['Casablanca (1942)', ""It's a Wonderful Life (1946)"", 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Godfather: Part II (1974)', 'The Princess Bride (1987)', 'The Green Mile (1999)', 'The Notebook (2004)', 'Eternal Sunshine of the Spotless Mind (2004)', 'La La Land (2016)']"
20,Female,Adult (41-60 years),"[64, 56, 127, 98, 182]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Departed (2006)', 'Inception (2010)', ""The recommendations aim to provide a diverse range of movies that align with the user's interests without disproportionately favoring or disfavoring any sensitive attributes such as gender.""]"
22,Male,Young (21-40 years),"[204, 82, 550, 257, 96, 173, 64]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Die Hard with a Vengeance (1995)', 'Men in Black (1997)', 'Indiana Jones and the Temple of Doom (1984)', 'The Terminator 2: Judgment Day (1991)', 'The Princess Bride (1987)', 'The Shawshank Redemption (1994)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 22, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Se7en (1995)']"
28,Male,Young (21-40 years),"[174, 204, 82, 144, 195, 176, 64]","['The Thing (1982)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'Jurassic Park (1993)', 'Die Hard (1988)', 'The Matrix (1999)', 'The Terminator (1984)', 'Aliens (1986)', 'The Shawshank Redemption (1994)']"
31,Male,Young (21-40 years),"[483, 127, 318, 64, 56, 98, 182]","['Casablanca (1942)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Departed (2006)', 'The Dark Knight (2008)']"
33,Male,Young (21-40 years),"[98, 1278, 12, 1362, 64, 56]","['The Silence of the Lambs (1991)', 'Seven (1995)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'American History X (1998)', 'The Sixth Sense (1999)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Memento (2000)', 'The Green Mile (1999)']"
45,Male,Young (21-40 years),"[69, 64, 56, 272, 1127, 71, 902, 202, 173]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'The Lion King (1994)', 'The Big Lebowski (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)']"
47,Male,Adult (41-60 years),"[100, 272, 257, 346, 316, 269, 298, 250, 270]","['Fargo (1996)', 'Good Will Hunting (1997)', 'The Game (1997)', 'Men in Black (1997)', 'Jackie Brown (1997)', 'As Good as It Gets (1997)', 'The Full Monty (1997)', 'Face/Off (1997)', 'The Fifth Element (1997)', 'Gattaca (1997)']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 272, 257, 298, 316, 250, 346, 1127, 902]","['L.A. Confidential (1997)', 'Good Will Hunting (1997)', 'Men in Black (1997)', 'Face/Off (1997)', 'As Good as It Gets (1997)', 'The Fifth Element (1997)', 'Jackie Brown (1997)', 'The Truman Show (1998)', 'The Negotiator (1998)', 'The Big Lebowski (1998)']"
