userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[79, 144, 96, 22, 56, 98, 273, 64]","['The Fugitive (1993)', 'Die Hard (1988)', 'Lethal Weapon (1987)', 'Terminator 2: Judgment Day (1991)', 'The Matrix (1999)', 'Braveheart (1995)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Heat (1995)', 'The Shawshank Redemption (1994)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),"[483, 496, 514, 173, 69, 64]","['Casablanca (1942)', ""It's a Wonderful Life (1946)"", 'Annie Hall (1977)', 'The Princess Bride (1987)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Eternal Sunshine of the Spotless Mind (2004)', 'La La Land (2016)', 'The Notebook (2004)', 'The Grand Budapest Hotel (2014)', 'Enjoy watching!']"
20,Female,Adult (41-60 years),"[64, 127, 56, 98]","['The Shawshank Redemption (1994)', 'The Godfather (1972)', 'Pulp Fiction (1994)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'The Matrix (1999)', 'Inception (2010)', 'The Departed (2006)', 'The Prestige (2006)']"
22,Male,Young (21-40 years),"[204, 174, 195, 82, 144, 257, 173]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Raiders of the Lost Ark (1981)', 'The Terminator (1984)', 'Jurassic Park (1993)', 'Die Hard (1988)', 'The Matrix (1999)', 'Men in Black (1997)', 'The Princess Bride (1987)', 'Indiana Jones and the Temple of Doom (1984)']"
26,Male,Adult (41-60 years),"[56, 64, 69, 182, 98, 22, 12, 1278]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Se7en (1995)']"
28,Male,Young (21-40 years),"[174, 204, 82, 195, 219, 144]","['The Thing (1982)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'The Exorcist (1973)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'A Nightmare on Elm Street (1984)', 'The Matrix (1999)', 'Die Hard (1988)']"
31,Male,Young (21-40 years),"[483, 127, 318, 64, 56, 69, 98, 182]","['Casablanca (1942)', 'The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Departed (2006)']"
33,Male,Young (21-40 years),"[1362, 12, 1278, 98, 56, 64, 79]","['The Sixth Sense (1999)', 'Fight Club (1999)', 'American History X (1998)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'The Silence of the Lambs (1991)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'The Blair Witch Project (1999)', 'The Fugitive (1993)']"
