userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 2858, 1682, 1704, 1265, 3147, 1784, 1682]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""Groundhog Day"" (1993)', '""The Green Mile"" (1999)', '""As Good as It Gets"" (1997)', '""The Truman Show"" (1998)', '""The Grand Budapest Hotel"" (2014)']"
27,Male,Young (21-40 years),"[296, 1230, 608, 318, 1197, 1732, 356]","['""Pulp Fiction"" (1994)', '""Annie Hall"" (1977)', '""The Graduate"" (1967)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Fargo"" (1996)', '""The Shawshank Redemption"" (1994)', '""The Princess Bride"" (1987)', '""The Big Lebowski"" (1998)', '""The Godfather"" (1972)', '""Forrest Gump"" (1994)']"
54,Male,Adult (41-60 years),"[910, 1230, 1265, 1197, 1704, 1682, 356, 318]","['""Some Like It Hot"" (1959)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""Groundhog Day"" (1993)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Princess Bride"" (1987)', '""Good Will Hunting"" (1997)', '""The Truman Show"" (1998)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)']"
59,Female,Adult (41-60 years),"[912, 318, 527, 1183, 515, 17, 412]","['""Casablanca"" (1942)', '""The Godfather"" (1972)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The English Patient"" (1996)', '""The Pianist"" (2002)', '""Atonement"" (2007)', '""The Remains of the Day"" (1993)', '""Sense and Sensibility"" (1995)', '""The Age of Innocence"" (1993)']"
95,Male,Adult (41-60 years),"[296, 356, 318, 593, 1213, 527, 110, 50]","['""The Godfather"" (1972)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""The Silence of the Lambs"" (1991)', '""Goodfellas"" (1990)', '""The Matrix"" (1999)', '""Schindler\'s List"" (1993)', '""Braveheart"" (1995)', '""The Usual Suspects"" (1995)']"
160,Male,Young (21-40 years),"[318, 1198, 296, 356, 593, 1213, 1732, 1682, 457, 1265]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Big Lebowski (1998)', 'The Truman Show (1998)', 'The Fugitive (1993)', 'Groundhog Day (1993)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1230, 296, 1197, 1732, 1265, 608, 593, 1682]","['""Annie Hall"" (1977)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""The Big Lebowski"" (1998)', '""Groundhog Day"" (1993)', '""Fargo"" (1996)', '""The Silence of the Lambs"" (1991)', '""Shaun of the Dead"" (2004)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)']"
218,Male,Young (21-40 years),"[1230, 318, 1682, 356, 1265]","['""Annie Hall"" (1977)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Little Miss Sunshine"" (2006)', '""The Truman Show"" (1998)', '""Silver Linings Playbook"" (2012)', '""Forrest Gump"" (1994)', '""The Grand Budapest Hotel"" (2014)', '""Lost in Translation"" (2003)', '""Groundhog Day"" (1993)']"
245,Male,Young (21-40 years),[],[]
