userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 1682, 318]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Amélie"" (2001)', '""The Shawshank Redemption"" (1994)', '""The Grand Budapest Hotel"" (2014)', '""Lost in Translation"" (2003)', '""Silver Linings Playbook"" (2012)', '""Little Miss Sunshine"" (2006)', '""Her"" (2013)']"
27,Male,Young (21-40 years),"[318, 296, 356, 1682]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""The Grand Budapest Hotel"" (2014)', '""Silver Linings Playbook"" (2012)', '""La La Land"" (2016)', '""Lost in Translation"" (2003)', '""The Social Network"" (2010)']"
54,Male,Adult (41-60 years),"[910, 1230, 1265, 2918, 3448, 1197, 1732, 2791, 1307]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Some Like It Hot"" (1959)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""Groundhog Day"" (1993)', '""Ferris Bueller\'s Day Off"" (1986)', '""Good Morning, Vietnam"" (1987)', '""The Princess Bride"" (1987)', '""The Big Lebowski"" (1998)', '""Airplane!"" (1980)', '""When Harry Met Sally..."" (1989)']"
59,Female,Adult (41-60 years),"[912, 1204, 318, 527, 1183, 515, 2427]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""Lawrence of Arabia"" (1962)', '""The Shawshank Redemption"" (1994)', '""The Godfather"" (1972)', '""Schindler\'s List"" (1993)', '""The Pianist"" (2002)', '""The English Patient"" (1996)', '""Atonement"" (2007)', '""The Remains of the Day"" (1993)', '""The Thin Red Line"" (1998)']"
95,Male,Adult (41-60 years),"[318, 296, 356, 593, 1213, 110, 527, 50, 2959]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Silence of the Lambs"" (1991)', '""The Matrix"" (1999)', '""Goodfellas"" (1990)', '""Braveheart"" (1995)', '""Schindler\'s List"" (1993)', '""The Usual Suspects"" (1995)', '""Fight Club"" (1999)']"
160,Male,Young (21-40 years),"[318, 1198, 356, 296, 593, 1265, 364, 1213, 1]","['Step 2: Calculate average ratings for the filtered movies', 'The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'Groundhog Day (1993)', 'The Lion King (1994)', 'Goodfellas (1990)', 'Toy Story (1995)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1265, 1307, 1197, 296, 593, 1198, 2762, 1617, 589, 1089]","['""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Princess Bride"" (1987)', '""Pulp Fiction"" (1994)', '""The Silence of the Lambs"" (1991)', '""Raiders of the Lost Ark"" (1981)', '""The Sixth Sense"" (1999)', '""L.A. Confidential"" (1997)', '""Terminator 2: Judgment Day"" (1991)', '""Reservoir Dogs"" (1992)']"
218,Male,Young (21-40 years),"[356, 1682, 1265, 1197, 1784, 1732, 1393, 318]","['""Forrest Gump"" (1994)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Little Miss Sunshine"" (2006)', '""The Princess Bride"" (1987)', '""As Good as It Gets"" (1997)', '""The Big Lebowski"" (1998)', '""Jerry Maguire"" (1996)', '""The Shawshank Redemption"" (1994)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[296, 318, 356, 1704, 2959, 593, 1682, 50]","['""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""The Matrix"" (1999)', '""Good Will Hunting"" (1997)', '""Fight Club"" (1999)', '""The Silence of the Lambs"" (1991)', '""The Truman Show"" (1998)', '""The Usual Suspects"" (1995)', '""Eternal Sunshine of the Spotless Mind"" (2004)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 1580, 2716, 1527, 1517, 3033, 1682, 1265]","['""Back to the Future"" (1985)', '""The Princess Diaries"" (2001)', '""Men in Black"" (1997)', '""The Mask"" (1994)', '""Ghostbusters"" (1984)', '""The Fifth Element"" (1997)', '""Austin Powers: International Man of Mystery"" (1997)', '""Spaceballs"" (1987)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)']"
356,Male,Adult (41-60 years),"[1258, 1219, 2762, 2710, 593, 2160]","[""We will also ensure that the recommendations are fair and do not disproportionately favor or disfavor movies based on the user's age group."", 'The Shining (1980)', 'Psycho (1960)', 'The Sixth Sense (1999)', 'The Blair Witch Project (1999)', 'The Exorcism of Emily Rose (2005)', 'The Others (2001)', 'The Silence of the Lambs (1991)', ""Rosemary's Baby (1968)"", 'The Babadook (2014)', 'The Ring (2002)']"
376,Male,Young (21-40 years),"[296, 356, 318, 1682, 1704, 1732, 2329, 3147, 1197]","['""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""The Big Lebowski"" (1998)', '""American History X"" (1998)', '""The Green Mile"" (1999)', '""The Princess Bride"" (1987)']"
386,Male,Young (21-40 years),[],[]
460,Male,Adult (41-60 years),"[910, 1265, 2791, 1136, 1517, 1197, 2716, 2918, 1732, 1230]","[""We will also ensure that the recommendations do not disproportionately favor or disfavor movies based on the user's age group"", ""'Some Like It Hot (1959)"", ""'Groundhog Day (1993)"", ""'Airplane! (1980)"", ""'Monty Python and the Holy Grail (1974)"", ""'Austin Powers: International Man of Mystery (1997)"", ""'The Princess Bride (1987)"", ""'Ghostbusters (1984)"", ""'Ferris Bueller's Day Off (1986)"", ""'The Big Lebowski (1998)"", ""'Annie Hall (1977)""]"
476,Male,Young (21-40 years),[],[]
