userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 2858, 1682, 1704, 318, 1265, 3147, 1784, 1197]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""The Shawshank Redemption"" (1994)', '""Groundhog Day"" (1993)', '""The Green Mile"" (1999)', '""As Good as It Gets"" (1997)', '""The Princess Bride"" (1987)']"
27,Male,Young (21-40 years),"[296, 356, 318, 1732, 1704, 1230, 1682, 1265, 1197]","['""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""Good Will Hunting"" (1997)', '""Annie Hall"" (1977)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""The Princess Bride"" (1987)']"
54,Male,Adult (41-60 years),"[1230, 1197, 1265, 1682, 2918, 3448, 1732, 356]","['""It\'s a Mad, Mad, Mad, Mad World"" (1963)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""Ferris Bueller\'s Day Off"" (1986)', '""Good Morning, Vietnam"" (1987)', '""The Big Lebowski"" (1998)', '""Forrest Gump"" (1994)']"
59,Female,Adult (41-60 years),"[527, 1183, 912, 920, 2028, 2067, 1263, 2427]","['""Schindler\'s List"" (1993)', '""The English Patient"" (1996)', '""Casablanca"" (1942)', '""The Pianist"" (2002)', '""Gone with the Wind"" (1939)', '""Saving Private Ryan"" (1998)', '""Doctor Zhivago"" (1965)', '""The Deer Hunter"" (1978)', '""Atonement"" (2007)', '""The Thin Red Line"" (1998)']"
95,Male,Adult (41-60 years),"[318, 296, 593, 356, 1213, 2959, 1682, 50, 1265]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Silence of the Lambs"" (1991)', '""Forrest Gump"" (1994)', '""The Matrix"" (1999)', '""Goodfellas"" (1990)', '""Fight Club"" (1999)', '""The Truman Show"" (1998)', '""The Usual Suspects"" (1995)', '""Groundhog Day"" (1993)']"
160,Male,Young (21-40 years),"[318, 1198, 356, 593, 296, 1704, 1270, 2762, 1197]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'Good Will Hunting (1997)', 'Back to the Future (1985)', 'The Sixth Sense (1999)', 'The Princess Bride (1987)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1230, 1265, 296, 1197, 2762, 1198, 593, 1617, 1089]","['""Annie Hall"" (1977)', '""Groundhog Day"" (1993)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""The Sixth Sense"" (1999)', '""Raiders of the Lost Ark"" (1981)', '""The Silence of the Lambs"" (1991)', '""The Godfather"" (1972)', '""L.A. Confidential"" (1997)', '""Reservoir Dogs"" (1992)']"
218,Male,Young (21-40 years),"[1230, 1682, 1784, 1197, 1265, 1732, 318]","['""Annie Hall"" (1977)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Little Miss Sunshine"" (2006)', '""As Good as It Gets"" (1997)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Big Lebowski"" (1998)', '""Silver Linings Playbook"" (2012)', '""Shawshank Redemption"" (1994)']"
245,Male,Young (21-40 years),[],[]
