userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 1682, 1704, 318, 1265, 1197, 1784, 1393]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Amélie"" (2001)', '""Good Will Hunting"" (1997)', '""The Shawshank Redemption"" (1994)', '""Groundhog Day"" (1993)', '""The Princess Bride"" (1987)', '""As Good as It Gets"" (1997)', '""Jerry Maguire"" (1996)']"
27,Male,Young (21-40 years),"[858, 296, 1230, 1213, 1732, 356, 1265, 1682, 1197]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""The Godfather (1972)', '""Pulp Fiction (1994)', '""Annie Hall (1977)', '""Goodfellas (1990)', '""Eternal Sunshine of the Spotless Mind (2004)', '""The Big Lebowski (1998)', '""Forrest Gump (1994)', '""Groundhog Day (1993)', '""The Truman Show (1998)', '""The Princess Bride (1987)']"
54,Male,Adult (41-60 years),"[910, 1230, 2791, 1265, 1197, 2918, 1732, 1307, 3448]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Some Like It Hot"" (1959)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""Airplane!"" (1980)', '""Groundhog Day"" (1993)', '""The Princess Bride"" (1987)', '""Ferris Bueller\'s Day Off"" (1986)', '""The Big Lebowski"" (1998)', '""When Harry Met Sally..."" (1989)', '""Good Morning, Vietnam"" (1987)']"
59,Female,Adult (41-60 years),"[912, 920, 318, 902, 1230, 17, 1183]","[""We will also ensure that the recommendations do not disproportionately favor or disfavor movies based on the user's gender."", '""Casablanca"" (1942)', '""Gone with the Wind"" (1939)', '""The Shawshank Redemption"" (1994)', '""The Graduate"" (1967)', '""Breakfast at Tiffany\'s"" (1961)', '""Annie Hall"" (1977)', '""The Piano"" (1993)', '""Sense and Sensibility"" (1995)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The English Patient"" (1996)']"
95,Male,Adult (41-60 years),"[858, 296, 356, 318, 593, 1213, 527, 110, 50]","['""The Godfather (1972)', '""Pulp Fiction (1994)', '""Forrest Gump (1994)', '""The Shawshank Redemption (1994)', '""The Silence of the Lambs (1991)', '""Goodfellas (1990)', '""The Matrix (1999)', '""Schindler\'s List (1993)', '""Braveheart (1995)', '""The Usual Suspects (1995)']"
160,Male,Young (21-40 years),"[318, 1198, 296, 356, 593, 1213, 858, 2959, 50]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Godfather (1972)', 'Fight Club (1999)', 'The Usual Suspects (1995)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1265, 296, 1197, 593, 2762, 1089, 589, 1198, 1617]","['""Groundhog Day"" (1993)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""The Silence of the Lambs"" (1991)', '""The Sixth Sense"" (1999)', '""Reservoir Dogs"" (1992)', '""The Terminator 2: Judgment Day"" (1991)', '""Raiders of the Lost Ark"" (1981)', '""L.A. Confidential"" (1997)', '""The Godfather"" (1972)']"
218,Male,Young (21-40 years),"[356, 318, 1265, 296, 1682, 1704, 1732, 1197]","['""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Groundhog Day"" (1993)', '""Pulp Fiction"" (1994)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""The Princess Bride"" (1987)', '""Amélie"" (2001)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[318, 356, 296, 1704, 593, 1682, 110, 3147, 2959]","['""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""Pulp Fiction"" (1994)', '""The Matrix"" (1999)', '""Good Will Hunting"" (1997)', '""The Silence of the Lambs"" (1991)', '""The Truman Show"" (1998)', '""Braveheart"" (1995)', '""The Green Mile"" (1999)', '""Fight Club"" (1999)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 2716, 1580, 1265, 1527, 39, 1, 1240, 480]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Back to the Future (1985)', '""The Princess Diaries (2001)', '""Ghostbusters (1984)', '""Men in Black (1997)', '""Groundhog Day (1993)', '""The Fifth Element (1997)', '""Clueless (1995)', '""Toy Story (1995)', '""The Terminator (1984)', '""Jurassic Park (1993)']"
356,Male,Adult (41-60 years),"[1219, 1258, 2160, 1997, 1387, 593, 1345, 2762, 2710, 1407]","[""However, we will ensure that the recommendations are fair and do not disproportionately favor or disfavor movies based on the user's gender."", 'Step 3: Remove movies that may disproportionately favor or disfavor the user based on gender:', 'Psycho (1960)', 'The Shining (1980)', ""Rosemary's Baby (1968)"", 'The Exorcist (1973)', 'Jaws (1975)', 'The Silence of the Lambs (1991)', 'Carrie (1976)', 'The Sixth Sense (1999)', 'The Blair Witch Project (1999)', 'Scream (1996)']"
376,Male,Young (21-40 years),"[912, 356, 1307, 296, 318, 1265, 1682, 1704, 1732]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", 'Casablanca (1942)', 'Forrest Gump (1994)', 'When Harry Met Sally... (1989)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'Good Will Hunting (1997)', 'The Big Lebowski (1998)', 'Eternal Sunshine of the Spotless Mind (2004)']"
386,Male,Young (21-40 years),[],[]
460,Male,Adult (41-60 years),"[910, 1230, 1265, 1307, 1197, 39, 1732, 2918, 1321]","['""Some Like It Hot"" (1959)', '""Annie Hall"" (1977)', '""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Princess Bride"" (1987)', '""Clueless"" (1995)', '""Anchorman: The Legend of Ron Burgundy"" (2004)', '""The Big Lebowski"" (1998)', '""Ferris Bueller\'s Day Off"" (1986)', '""An American Werewolf in London"" (1981)']"
476,Male,Young (21-40 years),[],[]
484,Female,Teenager (0-20 years),"[39, 593, 1307, 296, 1265, 2762, 1197, 357, 1682]","['""Clueless"" (1995)', '""The Silence of the Lambs"" (1991)', '""When Harry Met Sally..."" (1989)', '""Pulp Fiction"" (1994)', '""Groundhog Day"" (1993)', '""The Sixth Sense"" (1999)', '""The Princess Bride"" (1987)', '""The Fugitive"" (1993)', '""Four Weddings and a Funeral"" (1994)', '""The Truman Show"" (1998)']"
522,Male,Young (21-40 years),"[589, 480, 1370, 2167, 2916, 457, 1240, 1200, 2012]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", 'Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'Die Hard 2 (1990)', 'The Matrix Reloaded (2003)', 'Blade (1998)', 'Total Recall (1990)', 'The Fugitive (1993)', 'The Terminator (1984)', 'Aliens (1986)', 'Back to the Future Part III (1990)']"
526,Male,Adult (41-60 years),"[296, 318, 1208, 541, 1221, 110, 2959, 1263, 527]","['We will also take into account the ratings the user has given to similar movies. Here are the recommendations:', '""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)', '""Apocalypse Now"" (1979)', '""Blade Runner"" (1982)', '""The Godfather: Part II"" (1974)', '""Braveheart"" (1995)', '""Fight Club"" (1999)', '""The Deer Hunter"" (1978)', '""The Matrix"" (1999)', '""Schindler\'s List"" (1993)']"
544,Male,Young (21-40 years),"[1, 1198, 318, 364, 1196, 858, 480, 912, 1097, 919]","['Toy Story (1995)', 'Raiders of the Lost Ark (1981)', 'It has a similar adventurous tone to ""Indiana Jones and the Last Crusade,"" which the user enjoyed.', 'The Shawshank Redemption (1994)', 'The Lion King (1994)', 'It is a beloved Disney classic with memorable songs and a heartwarming story.', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'It is considered one of the best films in the Star Wars franchise and offers a thrilling and epic storyline.', 'The Godfather (1972)', 'Jurassic Park (1993)', 'It combines action, adventure, and thrilling dinosaur encounters, making it an exciting choice for the user.', 'Casablanca (1942)', 'E.T. the Extra-Terrestrial (1982)', 'The Wizard of Oz (1939)']"
554,Male,Young (21-40 years),"[296, 356, 318, 1704, 1732, 1617, 1682, 6, 50]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Matrix (1999)', 'Good Will Hunting (1997)', 'The Big Lebowski (1998)', 'L.A. Confidential (1997)', 'The Truman Show (1998)', 'Heat (1995)', 'The Usual Suspects (1995)']"
568,Female,Adult (41-60 years),"[318, 1221, 1198, 593, 110, 457, 527, 296]","['The Shawshank Redemption (1994)', 'The Godfather: Part II (1974)', 'Raiders of the Lost Ark (1981)', 'The Silence of the Lambs (1991)', 'Braveheart (1995)', 'The Fugitive (1993)', ""Schindler's List (1993)"", 'The Departed (2006)', 'The Matrix (1999)', 'Pulp Fiction (1994)']"
571,Male,Adult (41-60 years),"[541, 1036, 1240, 1200, 457, 2916, 377, 101, 380]","['Blade Runner (1982)', 'Die Hard (1988)', 'The Terminator (1984)', 'Aliens (1986)', 'The Fugitive (1993)', 'Total Recall (1990)', 'Speed (1994)', 'The Rock (1996)', 'True Lies (1994)', 'The Matrix (1999)']"
