userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 2858, 1682, 1265, 2396, 318]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""Shakespeare in Love"" (1998)', '""The Shawshank Redemption"" (1994)', '""Amélie"" (2001)', '""The Grand Budapest Hotel"" (2014)', '""Lost in Translation"" (2003)']"
27,Male,Young (21-40 years),"[296, 1230, 1732, 1265, 1682, 1197, 1704, 356]","['""Pulp Fiction"" (1994)', '""Annie Hall"" (1977)', '""The Graduate"" (1967)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""The Princess Bride"" (1987)', '""Good Will Hunting"" (1997)', '""Forrest Gump"" (1994)']"
54,Male,Adult (41-60 years),"[910, 1230, 1197, 1265, 3448, 1682, 608, 1732]","['""Some Like It Hot"" (1959)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""Good Morning, Vietnam"" (1987)', '""The Truman Show"" (1998)', '""Fargo"" (1996)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)']"
59,Female,Adult (41-60 years),"[912, 1204, 1183, 527, 2028, 318, 1263, 2067]","['""Casablanca"" (1942)', '""Lawrence of Arabia"" (1962)', '""The English Patient"" (1996)', '""Schindler\'s List"" (1993)', '""The Pianist"" (2002)', '""Saving Private Ryan"" (1998)', '""The Shawshank Redemption"" (1994)', '""Atonement"" (2007)', '""The Deer Hunter"" (1978)', '""Doctor Zhivago"" (1965)']"
95,Male,Adult (41-60 years),"[318, 296, 50, 356, 1213, 1682, 3147, 110]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Usual Suspects"" (1995)', '""Forrest Gump"" (1994)', '""The Matrix"" (1999)', '""Goodfellas"" (1990)', '""The Truman Show"" (1998)', '""The Fugitive"" (1993)', '""The Green Mile"" (1999)', '""Braveheart"" (1995)']"
160,Male,Young (21-40 years),"[318, 1198, 296, 593, 356, 1704, 1270, 50, 1265]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Good Will Hunting (1997)', 'Back to the Future (1985)', 'The Usual Suspects (1995)', 'Groundhog Day (1993)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1732, 1265, 608, 296, 1682, 50]","['""The Big Lebowski"" (1998)', '""Groundhog Day"" (1993)', '""Fargo"" (1996)', '""Pulp Fiction"" (1994)', '""The Truman Show"" (1998)', '""Shaun of the Dead"" (2004)', '""The Usual Suspects"" (1995)', '""Hot Fuzz"" (2007)', '""Kiss Kiss Bang Bang"" (2005)', '""In Bruges"" (2008)']"
218,Male,Young (21-40 years),"[1230, 356, 1197, 1265, 1682, 1732, 1784]","['""Annie Hall"" (1977)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""Amélie"" (2001)', '""Little Miss Sunshine"" (2006)', '""As Good as It Gets"" (1997)']"
245,Male,Young (21-40 years),[],[]
