userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 2858, 1682, 1704, 1265, 318, 1784, 3147, 1732]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""Groundhog Day"" (1993)', '""The Shawshank Redemption"" (1994)', '""As Good as It Gets"" (1997)', '""The Green Mile"" (1999)', '""The Big Lebowski"" (1998)']"
27,Male,Young (21-40 years),"[296, 1732, 1230, 1682, 1265, 1197, 356]","['""Pulp Fiction"" (1994)', '""The Big Lebowski"" (1998)', '""Annie Hall"" (1977)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""The Graduate"" (1967)', '""Amelie"" (2001)', '""The Princess Bride"" (1987)', '""Forrest Gump"" (1994)']"
54,Male,Adult (41-60 years),"[2791, 2918, 3448, 1732, 296, 1265, 1682, 356]","['""Airplane!"" (1980)', '""The Graduate"" (1967)', '""Ferris Bueller\'s Day Off"" (1986)', '""Good Morning, Vietnam"" (1987)', '""The Big Lebowski"" (1998)', '""Pulp Fiction"" (1994)', '""Annie"" (1982)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""Forrest Gump"" (1994)']"
59,Female,Adult (41-60 years),"[912, 920, 902, 1947, 923, 318, 1035, 1230]","['""Casablanca"" (1942)', '""Gone with the Wind"" (1939)', '""The Graduate"" (1967)', '""Breakfast at Tiffany\'s"" (1961)', '""West Side Story"" (1961)', '""Citizen Kane"" (1941)', '""The Shawshank Redemption"" (1994)', '""The Sound of Music"" (1965)', '""Annie Hall"" (1977)', '""Eternal Sunshine of the Spotless Mind"" (2004)']"
95,Male,Adult (41-60 years),"[318, 296, 356, 1213, 50, 3147, 1732, 527]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather"" (1972)', '""Forrest Gump"" (1994)', '""The Matrix"" (1999)', '""Goodfellas"" (1990)', '""The Usual Suspects"" (1995)', '""The Green Mile"" (1999)', '""The Big Lebowski"" (1998)', '""Schindler\'s List"" (1993)']"
160,Male,Young (21-40 years),"[318, 1198, 296, 356, 1704, 1732, 593, 1682, 457]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Good Will Hunting (1997)', 'The Big Lebowski (1998)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'The Fugitive (1993)', 'The ratings provided for certain movies also influenced the choices, ensuring a mix of highly acclaimed films and popular favorites.']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1230, 50, 1265, 296, 1197, 593, 2762, 1089, 904]","['""Annie Hall"" (1977)', '""The Usual Suspects"" (1995)', '""Groundhog Day"" (1993)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""The Silence of the Lambs"" (1991)', '""The Sixth Sense"" (1999)', '""Reservoir Dogs"" (1992)', '""The Godfather"" (1972)', '""Rear Window"" (1954)']"
218,Male,Young (21-40 years),"[1230, 1682, 1784, 318]","['""Annie Hall"" (1977)', '""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Little Miss Sunshine"" (2006)', '""Lost in Translation"" (2003)', '""The Royal Tenenbaums"" (2001)', '""Silver Linings Playbook"" (2012)', '""As Good as It Gets"" (1997)', '""The Grand Budapest Hotel"" (2014)', '""The Shawshank Redemption"" (1994)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[296, 318, 356, 1213, 1732, 2959, 593, 1682, 110]","['""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""The Matrix"" (1999)', '""Goodfellas"" (1990)', '""The Big Lebowski"" (1998)', '""Fight Club"" (1999)', '""The Silence of the Lambs"" (1991)', '""The Truman Show"" (1998)', '""Braveheart"" (1995)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 2716, 1307, 1580, 2124, 1517, 1265]","['""Back to the Future"" (1985)', '""The Princess Diaries"" (2001)', '""Ghostbusters"" (1984)', '""When Harry Met Sally..."" (1989)', '""Men in Black"" (1997)', '""The Mask"" (1994)', '""The Addams Family"" (1991)', '""Austin Powers: International Man of Mystery"" (1997)', '""The Incredibles"" (2004)', '""Groundhog Day"" (1993)']"
356,Male,Adult (41-60 years),"[1258, 1219, 593, 1347, 2762, 2160, 2710, 2459, 1345, 1407]","['The Shining (1980)', 'Psycho (1960)', 'The Silence of the Lambs (1991)', 'A Nightmare on Elm Street (1984)', 'The Sixth Sense (1999)', ""Rosemary's Baby (1968)"", 'The Blair Witch Project (1999)', 'The Texas Chainsaw Massacre (1974)', 'Carrie (1976)', 'Scream (1996)']"
376,Male,Young (21-40 years),"[296, 356, 318, 1682, 2329, 1732, 2959, 3147]","['""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""American History X"" (1998)', '""The Big Lebowski"" (1998)', '""Fight Club"" (1999)', '""The Green Mile"" (1999)', '""Inception"" (2010)']"
386,Male,Young (21-40 years),[],[]
460,Male,Adult (41-60 years),"[910, 1265, 1230, 1197, 2918, 1732, 3552, 2502, 676, 39]","['""Some Like It Hot"" (1959)', '""Groundhog Day"" (1993)', '""Annie Hall"" (1977)', '""The Princess Bride"" (1987)', '""Ferris Bueller\'s Day Off"" (1986)', '""The Big Lebowski"" (1998)', '""Caddyshack"" (1980)', '""Office Space"" (1999)', '""The Birdcage"" (1996)', '""Clueless"" (1995)']"
476,Male,Young (21-40 years),[],[]
484,Female,Teenager (0-20 years),"[39, 1682, 2572, 1197]","['""Clueless"" (1995)', '""The Truman Show"" (1998)', '""Legally Blonde"" (2001)', '""Zombieland"" (2009)', '""10 Things I Hate About You"" (1999)', '""Shaun of the Dead"" (2004)', '""Mean Girls"" (2004)', '""The Princess Bride"" (1987)', '""Hot Fuzz"" (2007)', '""Bend It Like Beckham"" (2002)']"
522,Male,Young (21-40 years),"[589, 480, 1240, 1370, 2167, 2916, 1527, 1200, 2012]","['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'Die Hard 2 (1990)', 'The Matrix Reloaded (2003)', 'Blade (1998)', 'Total Recall (1990)', 'The Fifth Element (1997)', 'Aliens (1986)', 'Back to the Future Part III (1990)']"
526,Male,Adult (41-60 years),"[296, 318, 1036, 1208, 541, 1263, 6, 50, 110]","['""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)', '""Die Hard"" (1988)', '""Apocalypse Now"" (1979)', '""Blade Runner"" (1982)', '""The Deer Hunter"" (1978)', '""Heat"" (1995)', '""The Usual Suspects"" (1995)', '""Braveheart"" (1995)', '""The Matrix"" (1999)']"
544,Male,Young (21-40 years),"[364, 1198, 260, 1097, 1028, 919, 1204, 356, 1022, 1035]","['The Lion King (1994)', 'Raiders of the Lost Ark (1981)', 'Star Wars: Episode IV - A New Hope (1977)', 'E.T. the Extra-Terrestrial (1982)', 'Mary Poppins (1964)', 'The Wizard of Oz (1939)', 'Lawrence of Arabia (1962)', 'Forrest Gump (1994)', 'Cinderella (1950)', 'The Sound of Music (1965)']"
