userId,gender,age_group,recommendations
5530,Female,Teenager (0-20 years),[]
711,Male,Young (21-40 years),"[1230, 1136, 3307, 1197, 318, 296, 1213, 1225]"
4924,Female,Young (21-40 years),"[296, 318, 1193, 50, 1213, 593, 912]"
2154,Male,Young (21-40 years),"[858, 356, 318, 364, 1682, 1704, 1197, 1968]"
1273,Male,Young (21-40 years),[]
2317,Female,Adult (41-60 years),"[1682, 1265, 356, 1197, 318, 1732, 1704, 296]"
2095,Male,Adult (41-60 years),"[356, 318, 296, 1704, 1682, 3147, 2762, 2959]"
3128,Male,Teenager (0-20 years),[]
743,Female,Teenager (0-20 years),"[1230, 1197, 1394, 3911, 39, 1285, 1256, 2918, 223, 2997]"
297,Male,Teenager (0-20 years),"[318, 356, 1732, 1682, 3147]"
3695,Male,Young (21-40 years),[]
1143,Male,Adult (41-60 years),"[296, 318, 356, 2959, 593, 1213, 50, 110, 1089]"
409,Male,Teenager (0-20 years),[]
5286,Male,Adult (41-60 years),"[910, 2791, 1136, 1197, 1265, 2716, 1732, 2918, 3868, 2502]"
3950,Male,Young (21-40 years),"[2502, 1682, 2395, 1732, 2413, 1265, 1517, 1923, 231, 3253]"
1621,Male,Young (21-40 years),"[318, 2959, 296, 593, 858, 2858, 356]"
2054,Male,Young (21-40 years),[]
5594,Female,Adult (41-60 years),"[318, 912, 527, 1221, 296, 1213, 593, 3147, 2028]"
5759,Female,Young (21-40 years),[]
866,Male,Teenager (0-20 years),"[1, 364, 595, 2081, 2355]"
806,Male,Young (21-40 years),"[3307, 1136, 1197, 2791, 1288, 1230, 1281, 1682, 1732]"
656,Female,Adult (41-60 years),"[318, 296, 1221, 1213, 1230, 1193, 593, 912, 1732]"
4818,Female,Young (21-40 years),"[1198, 1270, 480, 1527, 2761, 1682, 2140, 2161]"
2516,Female,Adult (41-60 years),"[1307, 1265, 539, 1197, 39, 595, 2671, 1777, 2424, 1230]"
5671,Male,Young (21-40 years),"[318, 356, 858, 912, 1247, 1230, 1213, 1197, 1682, 1265]"
24,Female,Young (21-40 years),"[1197, 2716, 1193, 260, 318, 912, 1198, 593, 919]"
1422,Male,Young (21-40 years),[]
5655,Female,Young (21-40 years),"[318, 356, 1704, 1682, 3147, 364, 2959, 2762, 2329]"
5256,Male,Young (21-40 years),[]
2437,Male,Young (21-40 years),"[296, 318, 356, 2959]"
4161,Male,Adult (41-60 years),[]
1631,Female,Adult (41-60 years),[]
2518,Male,Young (21-40 years),"[912, 1307, 356, 318, 539, 920, 597, 1197]"
3586,Male,Young (21-40 years),"[912, 318, 356, 858, 296, 593, 1704, 3147]"
2858,Female,Teenager (0-20 years),"[1307, 539, 2671, 2572, 2145, 39]"
5386,Male,Young (21-40 years),"[1036, 1198, 2000, 1240, 480, 780, 1580, 648]"
5635,Female,Young (21-40 years),"[364, 1097, 2081, 1035, 1197, 318, 1682, 531, 2761, 783]"
4490,Male,Young (21-40 years),[]
4743,Male,Adult (41-60 years),"[912, 318, 296, 1221, 527, 593, 1213, 50, 2959]"
2967,Male,Young (21-40 years),[]
255,Male,Young (21-40 years),[]
2550,Male,Adult (41-60 years),"[1209, 1304, 1201, 1084, 2921, 2871, 599, 1303, 3873, 2951]"
1194,Female,Young (21-40 years),[]
222,Male,Young (21-40 years),"[1527, 1270, 1580, 318, 296, 1240, 480, 260]"
1742,Male,Young (21-40 years),"[296, 593, 318, 2959, 50, 1487, 6, 1089, 457, 2762]"
4249,Female,Teenager (0-20 years),"[318, 296, 50, 2959, 6, 1487, 593, 1089, 2762, 3793]"
4221,Male,Young (21-40 years),"[296, 593, 1213, 318, 2959, 50, 2329, 1089]"
1162,Female,Young (21-40 years),"[912, 1221, 296, 318, 593, 50, 1704, 2858]"
1401,Female,Teenager (0-20 years),"[318, 296, 356, 1213, 593, 912, 527, 1193]"
4352,Male,Teenager (0-20 years),[]
882,Male,Teenager (0-20 years),"[1240, 1270, 1527, 541, 480, 260, 1200]"
5673,Female,Young (21-40 years),"[1230, 1307, 539, 597, 2671]"
4796,Male,Young (21-40 years),[]
566,Male,Young (21-40 years),[]
756,Male,Young (21-40 years),"[296, 1213, 318, 50, 1617, 6, 1089, 593, 2959]"
2500,Male,Adult (41-60 years),"[2028, 110, 165, 457, 780, 3753, 349, 1090, 1204]"
3694,Male,Young (21-40 years),"[1732, 296, 1682, 1213, 1197, 318, 2918, 1270, 2791, 1265]"
1877,Female,Adult (41-60 years),"[356, 318, 296, 1704, 1682]"
80,Male,Adult (41-60 years),"[364, 3114, 527, 110, 356, 1265, 2762, 1193, 920, 2028]"
2338,Male,Adult (41-60 years),"[318, 2028, 296, 2959, 110, 593, 50, 3578]"
5591,Male,Teenager (0-20 years),"[318, 356, 2959, 858, 1213, 593]"
2804,Female,Young (21-40 years),"[1197, 260, 1198, 480, 1097, 2140, 110, 356, 1265]"
764,Male,Teenager (0-20 years),"[1, 364, 356, 1197, 1270, 318, 595, 1682, 1035, 919]"
1600,Male,Young (21-40 years),[]
2289,Female,Adult (41-60 years),"[899, 1035, 1947, 919, 1028, 1197, 1088, 364, 2081, 595]"
5262,Female,Young (21-40 years),"[2791, 318, 899, 1265, 608, 1682, 1197, 1704, 1732, 1035]"
5026,Male,Young (21-40 years),[]
1884,Male,Adult (41-60 years),[]
4733,Male,Teenager (0-20 years),"[1198, 260, 1197, 1210, 858, 2011, 1291, 318, 1617, 1748]"
2192,Female,Young (21-40 years),"[1198, 589, 480, 1036, 541, 1270, 318, 260]"
5624,Male,Young (21-40 years),"[296, 318, 2959, 858, 1213, 593, 3578]"
2300,Male,Adult (41-60 years),"[1201, 380, 3671, 368, 599, 3104, 2921, 163]"
168,Female,Adult (41-60 years),"[296, 318, 356, 1213, 589, 1270, 593, 480, 2959]"
3251,Male,Young (21-40 years),"[296, 318, 356, 1213, 593, 2959, 50, 527, 2858]"
