userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[2858, 1682, 356, 318, 1704, 3147, 1732]","['""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Good Will Hunting"" (1997)', '""The Green Mile"" (1999)', '""The Grand Budapest Hotel"" (2014)', '""Lost in Translation"" (2003)', '""The Big Lebowski"" (1998)']"
27,Male,Young (21-40 years),"[318, 296, 356, 858, 1213, 593, 2959]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Departed (2006)', 'Inception (2010)']"
54,Male,Adult (41-60 years),"[2791, 1230, 1197, 2918, 1265, 1732, 1682, 2502]","['""Airplane!"" (1980)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""The Princess Bride"" (1987)', '""Ferris Bueller\'s Day Off"" (1986)', '""Groundhog Day"" (1993)', '""The Big Lebowski"" (1998)', '""The Truman Show"" (1998)', '""Office Space"" (1999)', '""The Grand Budapest Hotel"" (2014)', 'Enjoy!']"
59,Female,Adult (41-60 years),"[912, 920, 902, 1947, 923, 1172, 1035]","['""Casablanca"" (1942)', '""Gone with the Wind"" (1939)', '""The Graduate"" (1967)', '""Breakfast at Tiffany\'s"" (1961)', '""West Side Story"" (1961)', '""Citizen Kane"" (1941)', '""The Third Man"" (1949)', '""Cinema Paradiso"" (1988)', '""The Red Violin"" (1998)', '""The Sound of Music"" (1965)']"
95,Male,Adult (41-60 years),"[858, 296, 356, 318, 1213, 593, 2959, 110, 527]","['The Godfather (1972)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', ""Schindler's List (1993)""]"
160,Male,Young (21-40 years),"[318, 1198, 296, 356, 593, 2959, 858, 1213]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Dark Knight (2008)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1230, 296, 1197, 1221, 1198, 593, 318, 2762, 1089, 589]","['""Annie Hall"" (1977)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""The Godfather: Part II"" (1974)', '""Raiders of the Lost Ark"" (1981)', '""The Silence of the Lambs"" (1991)', '""The Shawshank Redemption"" (1994)', '""The Sixth Sense"" (1999)', '""Reservoir Dogs"" (1992)', '""The Terminator 2: Judgment Day"" (1991)']"
218,Male,Young (21-40 years),"[1230, 1197, 1265, 1307, 1682, 1784, 1732]","['""Annie Hall"" (1977)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Truman Show"" (1998)', '""As Good as It Gets"" (1997)', '""Little Miss Sunshine"" (2006)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""Amélie"" (2001)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[318, 296, 356, 2959, 1213, 593, 1682]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Dark Knight (2008)', 'Forrest Gump (1994)', 'Fight Club (1999)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'The Departed (2006)']"
261,Male,Young (21-40 years),[],[]
