userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[2858, 1682]","['American Beauty (1999)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Lost in Translation (2003)', 'The Truman Show (1998)', 'Garden State (2004)', 'Little Miss Sunshine (2006)', 'Juno (2007)', 'Silver Linings Playbook (2012)', 'Her (2013)', 'The Grand Budapest Hotel (2014)']"
27,Male,Young (21-40 years),"[318, 296, 356, 858, 1213, 2959, 593]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'Inception (2010)']"
54,Male,Adult (41-60 years),"[910, 1247, 1230, 1197, 1265, 608, 1704, 1682, 1732, 2858]","['Some Like It Hot (1959)', 'The Graduate (1967)', 'Annie Hall (1977)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'Fargo (1996)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'American Beauty (1999)']"
59,Female,Adult (41-60 years),"[858, 527, 318, 912, 920, 1204, 923, 1247, 1035, 953]","['The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Casablanca (1942)', 'Gone with the Wind (1939)', 'Lawrence of Arabia (1962)', 'Citizen Kane (1941)', 'The Graduate (1967)', 'The Sound of Music (1965)', ""It's a Wonderful Life (1946)""]"
95,Male,Adult (41-60 years),"[318, 296, 356, 593, 1213, 2959, 3147, 2858, 50]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Matrix (1999)', 'Fight Club (1999)', 'The Green Mile (1999)', 'American Beauty (1999)', 'The Usual Suspects (1995)']"
160,Male,Young (21-40 years),"[318, 296, 2959, 356, 593]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Fight Club (1999)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Dark Knight (2008)', 'Inception (2010)', 'The Departed (2006)', 'The Prestige (2006)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[608, 1265, 1732, 1682, 318, 1197, 593, 50, 296, 2959]","['Fargo (1996)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'The Truman Show (1998)', 'The Shawshank Redemption (1994)', 'The Princess Bride (1987)', 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Pulp Fiction (1994)', 'Fight Club (1999)']"
218,Male,Young (21-40 years),"[1197, 356, 1265, 1682, 1307, 318, 1732, 296, 3147, 1704]","['The Princess Bride (1987)', 'Forrest Gump (1994)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'When Harry Met Sally... (1989)', 'The Shawshank Redemption (1994)', 'The Big Lebowski (1998)', 'Pulp Fiction (1994)', 'The Green Mile (1999)', 'Good Will Hunting (1997)', 'Enjoy watching!']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[318, 296, 356, 2959, 1213, 593, 50, 110, 3147]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Fight Club (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Green Mile (1999)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 2716]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'The Princess Diaries (2001)', 'The Incredibles (2004)', 'The Hangover (2009)', 'Guardians of the Galaxy (2014)', 'Deadpool (2016)', 'Zootopia (2016)', 'The Grand Budapest Hotel (2014)', 'La La Land (2016)']"
356,Male,Adult (41-60 years),"[2762, 1258, 1219, 2710, 593, 1347]","['The Sixth Sense (1999)', 'The Shining (1980)', 'Psycho (1960)', 'The Blair Witch Project (1999)', 'The Silence of the Lambs (1991)', 'The Others (2001)', 'The Babadook (2014)', 'The Ring (2002)', 'The Conjuring (2013)', 'A Nightmare on Elm Street (1984)', 'Enjoy your movie marathon!']"
