userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[2858, 1682, 318, 356, 1704, 3147]","['""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Lost in Translation"" (2003)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""Good Will Hunting"" (1997)', '""The Green Mile"" (1999)', '""The Grand Budapest Hotel"" (2014)', '""Silver Linings Playbook"" (2012)']"
27,Male,Young (21-40 years),"[318, 296, 356, 858, 1213, 593, 2959]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Departed (2006)', 'Inception (2010)']"
54,Male,Adult (41-60 years),"[2791, 1265, 1230, 2918, 1197, 1732, 1682, 1968, 356]","['""Airplane!"" (1980)', '""Groundhog Day"" (1993)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""Ferris Bueller\'s Day Off"" (1986)', '""The Princess Bride"" (1987)', '""The Big Lebowski"" (1998)', '""The Truman Show"" (1998)', '""The Breakfast Club"" (1985)', '""Forrest Gump"" (1994)']"
59,Female,Adult (41-60 years),"[912, 527, 318, 920, 1204, 593, 1183]","['""The Godfather"" (1972)', '""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Shawshank Redemption"" (1994)', '""Gone with the Wind"" (1939)', '""Lawrence of Arabia"" (1962)', '""The Graduate"" (1967)', '""The Silence of the Lambs"" (1991)', '""The Great Gatsby"" (1974)', '""The English Patient"" (1996)']"
95,Male,Adult (41-60 years),"[318, 296, 356, 593, 1213, 2959, 110, 50, 2028]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Matrix (1999)', 'Fight Club (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)', 'Saving Private Ryan (1998)']"
160,Male,Young (21-40 years),"[318, 1198, 50, 1265, 296, 1036, 356, 1704, 1270]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'The Usual Suspects (1995)', 'Groundhog Day (1993)', 'Pulp Fiction (1994)', 'Die Hard (1988)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Good Will Hunting (1997)', 'Back to the Future (1985)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[1230, 1265, 3072, 1307, 1288, 1199, 1197, 1394, 3911, 3481]","['""Annie Hall"" (1977)', '""Groundhog Day"" (1993)', '""Moonstruck"" (1987)', '""When Harry Met Sally..."" (1989)', '""This Is Spinal Tap"" (1984)', '""Brazil"" (1985)', '""The Princess Bride"" (1987)', '""Raising Arizona"" (1987)', '""Best in Show"" (2000)', '""High Fidelity"" (2000)']"
218,Male,Young (21-40 years),"[1197, 356, 1307, 1265, 1682, 1784, 1393, 1732]","['""The Princess Bride"" (1987)', '""Forrest Gump"" (1994)', '""When Harry Met Sally..."" (1989)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""As Good as It Gets"" (1997)', '""Jerry Maguire"" (1996)', '""The Big Lebowski"" (1998)', '""Little Miss Sunshine"" (2006)', '""Eternal Sunshine of the Spotless Mind"" (2004)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[296, 318, 356, 1213, 2959, 593, 1682]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'The Departed (2006)', 'The Truman Show (1998)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 2716, 1198, 2918, 1777, 1517, 1682]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Raiders of the Lost Ark (1981)', ""Ferris Bueller's Day Off (1986)"", 'The Princess Diaries (2001)', 'The Mask (1994)', 'The Wedding Singer (1998)', 'Austin Powers: International Man of Mystery (1997)', 'Men in Black II (2002)', 'The Truman Show (1998)']"
356,Male,Adult (41-60 years),"[1258, 1219, 593, 2762, 2160, 2710, 1395, 1407]","['The Shining (1980)', 'Psycho (1960)', 'Silence of the Lambs (1991)', 'The Sixth Sense (1999)', ""Rosemary's Baby (1968)"", 'The Blair Witch Project (1999)', 'The Omen (1976)', 'Scream (1996)', 'The Babadook (2014)', 'The Conjuring (2013)', 'Enjoy watching!']"
376,Male,Young (21-40 years),"[356, 296, 318, 1704, 1682, 1732, 2959, 3147, 2329]","['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Big Lebowski (1998)', 'Fight Club (1999)', 'The Green Mile (1999)', 'American History X (1998)']"
386,Male,Young (21-40 years),[],[]
460,Male,Adult (41-60 years),"[1265, 2791, 1136, 1517, 1641, 357, 3175, 2302, 235, 1220]","['""Groundhog Day"" (1993)', '""Airplane!"" (1980)', '""Monty Python and the Holy Grail"" (1974)', '""Austin Powers: International Man of Mystery"" (1997)', '""The Full Monty"" (1997)', '""Four Weddings and a Funeral"" (1994)', '""Galaxy Quest"" (1999)', '""My Cousin Vinny"" (1992)', '""Ed Wood"" (1994)', '""Blues Brothers, The"" (1980)']"
476,Male,Young (21-40 years),[],[]
484,Female,Teenager (0-20 years),"[39, 457, 1265, 1682, 1777, 1580, 593, 1197, 318, 296]","['Clueless (1995)', 'The Fugitive (1993)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'The Wedding Singer (1998)', 'Men in Black (1997)', 'The Silence of the Lambs (1991)', 'The Princess Bride (1987)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)']"
522,Male,Young (21-40 years),"[589, 480, 1240, 1527, 1544, 1210]","['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'The Matrix Reloaded (2003)', 'The Terminator (1984)', 'The Fifth Element (1997)', 'The Lost World: Jurassic Park (1997)', 'Men in Black II (2002)', 'Independence Day: Resurgence (2016)', 'The Empire Strikes Back (1980)', 'Star Wars: Episode VI - Return of the Jedi (1983)']"
526,Male,Adult (41-60 years),"[1036, 541, 318, 296, 1240, 110, 1221, 1208]","['Die Hard (1988)', 'Blade Runner (1982)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Dark Knight (2008)', 'The Terminator (1984)', 'Braveheart (1995)', 'The Matrix (1999)', 'The Godfather: Part II (1974)', 'Apocalypse Now (1979)']"
544,Male,Young (21-40 years),"[364, 1198, 260, 1028, 919, 2012, 2096, 2078, 1204, 1262]","['The Lion King (1994)', 'Raiders of the Lost Ark (1981)', 'Star Wars: Episode IV - A New Hope (1977)', 'Mary Poppins (1964)', 'The Wizard of Oz (1939)', 'Back to the Future Part III (1990)', 'Sleeping Beauty (1959)', 'The Jungle Book (1967)', 'Lawrence of Arabia (1962)', 'The Great Escape (1963)']"
554,Male,Young (21-40 years),"[296, 318, 356, 1213, 50, 110, 593, 2959, 3147]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Matrix (1999)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Green Mile (1999)']"
568,Female,Adult (41-60 years),"[1221, 1198, 1036, 110, 457, 318, 296, 593, 6]","['The Godfather: Part II (1974)', 'Raiders of the Lost Ark (1981)', 'Die Hard (1988)', 'Braveheart (1995)', 'The Fugitive (1993)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Heat (1995)', 'The Departed (2006)', 'Enjoy watching!']"
571,Male,Adult (41-60 years),"[541, 2916, 1240, 1036, 2985, 1527, 780, 1909]","['Blade Runner (1982)', 'Total Recall (1990)', 'The Terminator (1984)', 'Die Hard (1988)', 'RoboCop (1987)', 'The Matrix Reloaded (2003)', 'Minority Report (2002)', 'The Fifth Element (1997)', 'Independence Day (1996)', 'The X-Files: Fight the Future (1998)']"
582,Male,Teenager (0-20 years),"[296, 318, 356, 593, 1213, 1682, 2762, 2858, 2959, 50]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Truman Show (1998)', 'The Sixth Sense (1999)', 'American Beauty (1999)', 'Fight Club (1999)', 'The Usual Suspects (1995)']"
583,Female,Young (21-40 years),"[318, 356, 364, 1682, 1197, 595, 3147, 3114, 1035, 919]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Lion King (1994)', 'The Truman Show (1998)', 'The Princess Bride (1987)', 'Beauty and the Beast (1991)', 'The Green Mile (1999)', 'Toy Story 2 (1999)', 'The Sound of Music (1965)', 'The Wizard of Oz (1939)']"
586,Male,Young (21-40 years),"[1240, 2167, 1527, 2916, 1580, 480, 318]","['The Terminator (1984)', 'Blade (1998)', 'The Fifth Element (1997)', 'Total Recall (1990)', 'The Matrix Reloaded (2003)', 'Men in Black (1997)', 'Jurassic Park (1993)', 'The Dark Knight (2008)', 'Inception (2010)', 'The Shawshank Redemption (1994)']"
647,Male,Young (21-40 years),[],[]
655,Female,Young (21-40 years),[],[]
703,Female,Adult (41-60 years),"[318, 296, 1291, 1270, 1036, 1221, 1197, 457]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Dark Knight (2008)', 'Indiana Jones and the Last Crusade (1989)', 'Back to the Future (1985)', 'The Departed (2006)', 'Die Hard (1988)', 'The Godfather: Part II (1974)', 'The Princess Bride (1987)', 'The Fugitive (1993)']"
714,Male,Teenager (0-20 years),[],[]
746,Female,Teenager (0-20 years),[],[]
761,Male,Teenager (0-20 years),"[480, 1036, 589, 1270, 1527, 1580, 780, 318]","['The Dark Knight (2008)', 'Inception (2010)', 'Jurassic Park (1993)', 'Die Hard (1988)', 'The Terminator 2: Judgment Day (1991)', 'Back to the Future (1985)', 'The Fifth Element (1997)', 'Men in Black (1997)', 'Independence Day (1996)', 'The Shawshank Redemption (1994)']"
769,Male,Adult (41-60 years),"[318, 296, 1221, 1213, 1193, 593, 50, 2959, 3147]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)', 'Goodfellas (1990)', ""One Flew Over the Cuckoo's Nest (1975)"", 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'The Departed (2006)', 'The Green Mile (1999)']"
794,Male,Adult (41-60 years),"[2791, 1307, 1230, 1265, 1197, 2918, 1172, 1238, 2997, 2243]","['""Airplane!"" (1980)', '""When Harry Met Sally..."" (1989)', '""Annie Hall"" (1977)', '""Groundhog Day"" (1993)', '""The Princess Bride"" (1987)', '""Ferris Bueller\'s Day Off"" (1986)', '""Cinema Paradiso"" (1988)', '""Local Hero"" (1983)', '""Being John Malkovich"" (1999)', '""Broadcast News"" (1987)', 'Enjoy watching!']"
829,Male,Teenager (0-20 years),"[318, 296, 1221, 2959, 593, 50, 3793, 1487, 2762, 2858]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Memento (2000)', 'Se7en (1995)', 'The Sixth Sense (1999)', 'American Beauty (1999)']"
839,Male,Young (21-40 years),[],[]
841,Female,Adult (41-60 years),"[318, 356, 296, 1704, 1682, 2858, 2959, 3147, 2762]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'American Beauty (1999)', 'Fight Club (1999)', 'The Green Mile (1999)', 'The Sixth Sense (1999)', 'The Departed (2006)']"
873,Male,Adult (41-60 years),"[912, 318, 296, 1221, 1193, 1213, 527, 50, 356]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Godfather: Part II"" (1974)', '""One Flew Over the Cuckoo\'s Nest"" (1975)', '""Goodfellas"" (1990)', '""The Graduate"" (1967)', '""Schindler\'s List"" (1993)', '""The Usual Suspects"" (1995)', '""Forrest Gump"" (1994)']"
900,Female,Adult (41-60 years),"[2858, 608, 296, 318, 1704, 356, 1682, 3147, 50]","['American Beauty (1999)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Fargo (1996)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'Forrest Gump (1994)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'The Usual Suspects (1995)']"
915,Male,Young (21-40 years),"[1036, 593, 2762, 2959, 1258, 2000, 457, 1240, 1387, 1997]","['Die Hard (1988)', 'The Silence of the Lambs (1991)', 'The Sixth Sense (1999)', 'Fight Club (1999)', 'The Shining (1980)', 'Lethal Weapon (1987)', 'The Fugitive (1993)', 'The Terminator (1984)', 'Jaws (1975)', 'The Exorcist (1973)']"
916,Female,Young (21-40 years),"[356, 318, 296, 1704, 1682, 1265, 1732, 1197, 1270, 1968]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'The Princess Bride (1987)', 'Back to the Future (1985)', 'The Breakfast Club (1985)']"
919,Female,Young (21-40 years),[],[]
941,Male,Teenager (0-20 years),"[296, 318, 1213, 356, 858, 2959, 593, 1682, 50]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'The Departed (2006)', 'The Truman Show (1998)', 'The Usual Suspects (1995)', 'Enjoy watching!']"
994,Male,Teenager (0-20 years),"[296, 318, 2959, 6, 1213, 1089, 50, 16, 1617]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'Heat (1995)', 'The Departed (2006)', 'Goodfellas (1990)', 'Reservoir Dogs (1992)', 'The Usual Suspects (1995)', 'Casino (1995)', 'L.A. Confidential (1997)']"
