userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[318, 296, 2959, 1732, 1213, 608, 593, 1682, 2858]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Fight Club (1999)', 'The Big Lebowski (1998)', 'The Matrix (1999)', 'GoodFellas (1990)', 'Fargo (1996)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'American Beauty (1999)', 'Enjoy watching!']"
27,Male,Young (21-40 years),"[318, 296, 356, 858, 1213, 2959, 593]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'Inception (2010)']"
54,Male,Adult (41-60 years),"[910, 1247, 1230, 2791, 1265, 1197, 2918, 1270, 1732, 356]","['Some Like It Hot (1959)', 'The Graduate (1967)', 'Annie Hall (1977)', 'Airplane! (1980)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', ""Ferris Bueller's Day Off (1986)"", 'Back to the Future (1985)', 'The Big Lebowski (1998)', 'Forrest Gump (1994)']"
59,Female,Adult (41-60 years),"[858, 527, 318, 912, 920, 1204, 1035, 919, 2739]","['The Godfather (1972)', ""Schindler's List (1993)"", 'The Shawshank Redemption (1994)', 'Casablanca (1942)', 'Gone with the Wind (1939)', 'Lawrence of Arabia (1962)', 'The Sound of Music (1965)', 'The Wizard of Oz (1939)', 'The Great Gatsby (1974)', 'The Color Purple (1985)']"
95,Male,Adult (41-60 years),"[296, 318, 356, 858, 1213, 593, 2959, 110, 2028]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'Saving Private Ryan (1998)']"
160,Male,Young (21-40 years),"[318, 296, 2959, 356, 593, 1213, 50, 110, 1732]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Fight Club (1999)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Big Lebowski (1998)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[608, 1265, 1732, 1682, 318, 50, 2959, 593, 2858]","['Fargo (1996)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'The Truman Show (1998)', 'The Shawshank Redemption (1994)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'American Beauty (1999)', 'The Matrix (1999)', 'Enjoy watching!']"
218,Male,Young (21-40 years),"[356, 318, 296, 858, 1213, 593, 2959]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'The Matrix (1999)', 'Inception (2010)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', ""The recommendations do not take into account the user's gender to ensure fairness.""]"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[318, 296, 356, 2959, 1213, 593, 110, 3147, 50]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Fight Club (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Braveheart (1995)', 'The Green Mile (1999)', 'The Usual Suspects (1995)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1197, 39, 1, 589, 480, 1259, 318, 1097, 1307]","['The Princess Bride (1987)', 'Clueless (1995)', 'Toy Story (1995)', 'Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Stand by Me (1986)', 'Shawshank Redemption, The (1994)', 'E.T. the Extra-Terrestrial (1982)', 'When Harry Met Sally... (1989)']"
356,Male,Adult (41-60 years),"[1258, 1219, 593, 1347, 2710, 2459, 2160, 2762]","['The Shining (1980)', 'Psycho (1960)', 'The Silence of the Lambs (1991)', 'A Nightmare on Elm Street (1984)', 'The Blair Witch Project (1999)', 'The Texas Chainsaw Massacre (1974)', ""Rosemary's Baby (1968)"", 'The Sixth Sense (1999)', 'The Babadook (2014)', 'Get Out (2017)']"
376,Male,Young (21-40 years),"[356, 296, 318, 1704, 1682, 3147, 2329, 2959]","['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'American History X (1998)', 'Fight Club (1999)', 'The Departed (2006)', 'Eternal Sunshine of the Spotless Mind (2004)']"
386,Male,Young (21-40 years),[],[]
460,Male,Adult (41-60 years),"[910, 1265, 2791, 1136, 2716, 1197, 1270, 2918, 1732, 1682]","['Some Like It Hot (1959)', 'Groundhog Day (1993)', 'Airplane! (1980)', 'Monty Python and the Holy Grail (1975)', 'Ghostbusters (1984)', 'The Princess Bride (1987)', 'Back to the Future (1985)', ""Ferris Bueller's Day Off (1986)"", 'The Big Lebowski (1998)', 'The Truman Show (1998)', 'They include a mix of classic and more recent films that are highly regarded in the comedy genre.']"
476,Male,Young (21-40 years),[],[]
484,Female,Teenager (0-20 years),"[39, 1197, 1265, 1682, 608, 296, 593, 318, 1732, 2959]","['Clueless (1995)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'Fargo (1996)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Shawshank Redemption (1994)', 'The Big Lebowski (1998)', 'Fight Club (1999)', 'Enjoy your movie marathon!']"
522,Male,Young (21-40 years),"[589, 480, 1370, 1240, 1198, 1527, 2167]","['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'The Matrix Reloaded (2003)', 'Die Hard 2 (1990)', 'The Terminator (1984)', 'Raiders of the Lost Ark (1981)', 'The Fifth Element (1997)', 'Blade (1998)', 'The Empire Strikes Back (1980)', 'The Dark Knight (2008)', 'The recommendations aim to provide a diverse range of movies within these genres while ensuring fairness and avoiding any bias based on sensitive attributes such as gender.']"
526,Male,Adult (41-60 years),"[1036, 541, 318, 296, 2959, 50, 110, 1240]","['Die Hard (1988)', 'Blade Runner (1982)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Terminator (1984)', 'The Matrix (1999)']"
544,Male,Young (21-40 years),"[1, 1198, 1196, 364, 318, 858, 1197, 480, 1035, 912]","['Toy Story (1995)', 'Raiders of the Lost Ark (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'The Lion King (1994)', 'The Shawshank Redemption (1994)', 'The Godfather (1972)', 'The Princess Bride (1987)', 'Jurassic Park (1993)', 'The Sound of Music (1965)', 'Casablanca (1942)']"
554,Male,Young (21-40 years),"[296, 318, 356, 1213, 858, 593, 2959]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'The Godfather (1972)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Departed (2006)']"
568,Female,Adult (41-60 years),"[318, 527, 110, 1221, 1208, 1263, 1090, 593, 3578]","['The Shawshank Redemption (1994)', ""Schindler's List (1993)"", 'Braveheart (1995)', 'The Godfather: Part II (1974)', 'Apocalypse Now (1979)', 'The Deer Hunter (1978)', 'Platoon (1986)', 'The Silence of the Lambs (1991)', 'The Departed (2006)', 'Gladiator (2000)']"
571,Male,Adult (41-60 years),"[541, 1200, 1036, 1240, 2916, 2985, 457, 480]","['Blade Runner (1982)', 'Aliens (1986)', 'Die Hard (1988)', 'The Terminator (1984)', 'Total Recall (1990)', 'RoboCop (1987)', 'The Fugitive (1993)', 'The Matrix (1999)', 'Jurassic Park (1993)', 'The Bourne Identity (2002)']"
582,Male,Teenager (0-20 years),"[296, 318, 356, 593, 1213, 50, 1487, 3147, 2329, 2762]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'The Green Mile (1999)', 'American History X (1998)', 'The Sixth Sense (1999)']"
583,Female,Young (21-40 years),"[318, 356, 1197, 1682, 364, 3147, 3114, 595, 1035, 919]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Princess Bride (1987)', 'The Truman Show (1998)', 'The Lion King (1994)', 'The Green Mile (1999)', 'Toy Story 2 (1999)', 'Beauty and the Beast (1991)', 'The Sound of Music (1965)', 'The Wizard of Oz (1939)', 'Enjoy!']"
586,Male,Young (21-40 years),"[1240, 1210, 480, 318, 296, 2959]","['The Terminator (1984)', 'Blade Runner 2049 (2017)', 'The Matrix Reloaded (2003)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Jurassic Park (1993)', 'The Dark Knight (2008)', 'Inception (2010)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Fight Club (1999)']"
647,Male,Young (21-40 years),[],[]
655,Female,Young (21-40 years),[],[]
703,Female,Adult (41-60 years),"[296, 318, 593, 1197, 1270, 1036, 480, 1240]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'The Dark Knight (2008)', 'The Silence of the Lambs (1991)', 'The Princess Bride (1987)', 'Back to the Future (1985)', 'Die Hard (1988)', 'The Matrix (1999)', 'Jurassic Park (1993)', 'The Terminator (1984)']"
714,Male,Teenager (0-20 years),[],[]
746,Female,Teenager (0-20 years),[],[]
761,Male,Teenager (0-20 years),"[1036, 480, 1527, 1580, 2000, 1270, 589]","['The Dark Knight (2008)', 'Inception (2010)', 'The Bourne Identity (2002)', 'Die Hard (1988)', 'Jurassic Park (1993)', 'The Fifth Element (1997)', 'Men in Black (1997)', 'Lethal Weapon (1987)', 'Back to the Future (1985)', 'The Terminator 2: Judgment Day (1991)']"
769,Male,Adult (41-60 years),"[318, 296, 1221, 1213, 1193, 593, 2959, 50]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)', 'Goodfellas (1990)', ""One Flew Over the Cuckoo's Nest (1975)"", 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Usual Suspects (1995)', 'The Departed (2006)', 'The Dark Knight (2008)']"
794,Male,Adult (41-60 years),"[1307, 1197, 1265, 2918, 1682, 1732, 1247, 1230, 1968, 1270]","['When Harry Met Sally... (1989)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', ""Ferris Bueller's Day Off (1986)"", 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'The Graduate (1967)', 'Annie Hall (1977)', 'The Breakfast Club (1985)', 'Back to the Future (1985)', ""The recommendations aim to provide a diverse range of movies within the user's preferred genres and time period.""]"
