userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 2858, 1682, 2396, 318, 1704, 3147]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Shakespeare in Love"" (1998)', '""The Shawshank Redemption"" (1994)', '""Good Will Hunting"" (1997)', '""The Green Mile"" (1999)', '""The Grand Budapest Hotel"" (2014)', '""Lost in Translation"" (2003)']"
27,Male,Young (21-40 years),"[318, 296, 356, 1213, 1732, 1230, 1682]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Godfather"" (1972)', '""Goodfellas"" (1990)', '""The Big Lebowski"" (1998)', '""Annie Hall"" (1977)', '""The Graduate"" (1967)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)']"
54,Male,Adult (41-60 years),"[2791, 1230, 2918, 1197, 1265, 1732, 296, 1682, 356]","['""Airplane!"" (1980)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""Ferris Bueller\'s Day Off"" (1986)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Big Lebowski"" (1998)', '""Pulp Fiction"" (1994)', '""The Truman Show"" (1998)', '""Forrest Gump"" (1994)', 'Enjoy watching!']"
59,Female,Adult (41-60 years),"[912, 527, 318, 920, 1035, 1204, 1207]","['""The Godfather"" (1972)', '""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Shawshank Redemption"" (1994)', '""Gone with the Wind"" (1939)', '""The Sound of Music"" (1965)', '""Lawrence of Arabia"" (1962)', '""The Graduate"" (1967)', '""To Kill a Mockingbird"" (1962)', '""The Piano"" (1993)']"
95,Male,Adult (41-60 years),"[296, 318, 2959, 858, 356, 593, 1213, 110, 480]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Godfather (1972)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Matrix (1999)', 'Braveheart (1995)', 'Jurassic Park (1993)']"
160,Male,Young (21-40 years),"[318, 1198, 50, 1136, 1036, 296, 356, 1213, 1270]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'The Usual Suspects (1995)', 'Monty Python and the Holy Grail (1975)', 'Die Hard (1988)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'Back to the Future (1985)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[608, 1265, 1732, 318, 50, 1197, 296, 593, 858, 1198]","['Fargo (1996)', 'Groundhog Day (1993)', 'The Big Lebowski (1998)', 'The Shawshank Redemption (1994)', 'The Usual Suspects (1995)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Godfather (1972)', 'Raiders of the Lost Ark (1981)']"
218,Male,Young (21-40 years),"[1230, 1682, 1265, 1784, 1197, 1732, 318]","['""Annie Hall"" (1977)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""As Good as It Gets"" (1997)', '""The Princess Bride"" (1987)', '""Little Miss Sunshine"" (2006)', '""The Big Lebowski"" (1998)', '""Amélie"" (2001)', '""The Shawshank Redemption"" (1994)']"
245,Male,Young (21-40 years),[],[]
