userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[2858, 1682, 318, 1704]","['American Beauty (1999)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Lost in Translation (2003)', 'The Truman Show (1998)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'The Social Network (2010)', 'Silver Linings Playbook (2012)', 'Little Miss Sunshine (2006)', 'The Grand Budapest Hotel (2014)']"
27,Male,Young (21-40 years),"[318, 912, 1204, 1207, 923, 910, 1136, 1276, 926, 1262]","['The Shawshank Redemption (1994)', 'Casablanca (1942)', 'Lawrence of Arabia (1962)', 'To Kill a Mockingbird (1962)', 'Citizen Kane (1941)', 'Some Like It Hot (1959)', 'Monty Python and the Holy Grail (1974)', 'Cool Hand Luke (1967)', 'All About Eve (1950)', 'The Great Escape (1963)']"
54,Male,Adult (41-60 years),"[1247, 1230, 910, 1265, 1197, 2791, 1732, 2918, 1968, 1270]","['The Graduate (1967)', 'Annie Hall (1977)', 'Some Like It Hot (1959)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'Airplane! (1980)', 'The Big Lebowski (1998)', ""Ferris Bueller's Day Off (1986)"", 'The Breakfast Club (1985)', 'Back to the Future (1985)']"
59,Female,Adult (41-60 years),"[912, 920, 1204, 318, 527, 1035, 1207, 919]","['""The Godfather"" (1972)', '""Casablanca"" (1942)', '""Gone with the Wind"" (1939)', '""Lawrence of Arabia"" (1962)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The Sound of Music"" (1965)', '""To Kill a Mockingbird"" (1962)', '""The Wizard of Oz"" (1939)', '""The Great Gatsby"" (1974)']"
95,Male,Adult (41-60 years),"[318, 296, 356, 858, 1213, 593, 2959, 2028, 3147]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Saving Private Ryan (1998)', 'The Green Mile (1999)']"
160,Male,Young (21-40 years),"[318, 1198, 296, 2959, 356, 593, 858, 1213]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'Fight Club (1999)', 'The Dark Knight (2008)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Godfather (1972)', 'Goodfellas (1990)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[608, 1732, 1265, 1197, 296, 318, 1198, 593, 50, 2959]","['Fargo (1996)', 'The Big Lebowski (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Fight Club (1999)']"
218,Male,Young (21-40 years),"[318, 356, 296, 1682, 1704, 3147, 1732, 1265, 1197, 1270]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Truman Show (1998)', 'Good Will Hunting (1997)', 'The Green Mile (1999)', 'The Big Lebowski (1998)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'Back to the Future (1985)']"
245,Male,Young (21-40 years),[],[]
