userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[2858, 1682, 356, 1704, 318, 3147]","['""Eternal Sunshine of the Spotless Mind"" (2004)', '""American Beauty"" (1999)', '""The Truman Show"" (1998)', '""Forrest Gump"" (1994)', '""Good Will Hunting"" (1997)', '""The Shawshank Redemption"" (1994)', '""The Green Mile"" (1999)', '""The Grand Budapest Hotel"" (2014)', '""Lost in Translation"" (2003)', '""The Big Short"" (2015)']"
27,Male,Young (21-40 years),"[318, 296, 356, 858, 1213, 593, 2959]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Departed (2006)', 'Inception (2010)']"
54,Male,Adult (41-60 years),"[2791, 1230, 2918, 1197, 1265, 1732, 1682, 3448, 318]","['""Airplane!"" (1980)', '""The Graduate"" (1967)', '""Annie Hall"" (1977)', '""Ferris Bueller\'s Day Off"" (1986)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Big Lebowski"" (1998)', '""The Truman Show"" (1998)', '""Good Morning, Vietnam"" (1987)', '""The Shawshank Redemption"" (1994)', 'Enjoy watching!']"
59,Female,Adult (41-60 years),"[912, 527, 318, 1183, 3147]","['""The Godfather"" (1972)', '""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Shawshank Redemption"" (1994)', '""Gone Girl"" (2014)', '""The English Patient"" (1996)', '""The Pianist"" (2002)', '""The Green Mile"" (1999)', '""The Hours"" (2002)', '""Atonement"" (2007)']"
95,Male,Adult (41-60 years),"[858, 296, 318, 1213, 356, 593, 2959, 110, 50]","['The Godfather (1972)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Matrix (1999)', 'Fight Club (1999)', 'Braveheart (1995)', 'The Usual Suspects (1995)']"
160,Male,Young (21-40 years),"[318, 1198, 50, 296, 356, 1213, 593, 2959, 1270]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'The Usual Suspects (1995)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'Back to the Future (1985)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[2791, 1265, 1197, 1198, 296, 858, 589, 593, 2762, 1089]","['""Airplane! (1980)', '""Groundhog Day (1993)', '""The Princess Bride (1987)', '""Raiders of the Lost Ark (1981)', '""Pulp Fiction (1994)', '""The Godfather (1972)', '""The Terminator 2: Judgment Day (1991)', '""The Silence of the Lambs (1991)', '""The Sixth Sense (1999)', '""Reservoir Dogs (1992)', 'Enjoy!']"
218,Male,Young (21-40 years),"[1197, 356, 1265, 1307, 1682, 1704, 1732, 318, 296]","['""The Princess Bride"" (1987)', '""Forrest Gump"" (1994)', '""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Truman Show"" (1998)', '""Good Will Hunting"" (1997)', '""The Big Lebowski"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[296, 318, 2959, 1213, 356, 593, 858]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Godfather (1972)', 'Inception (2010)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 500, 2572, 1517, 1777]","['""Back to the Future"" (1985)', '""The Princess Diaries"" (2001)', '""Mrs. Doubtfire"" (1993)', '""The Mask"" (1994)', '""10 Things I Hate About You"" (1999)', '""Men in Black II"" (2002)', '""Austin Powers: International Man of Mystery"" (1997)', '""The Wedding Singer"" (1998)', '""Legally Blonde"" (2001)', '""Zoolander"" (2001)']"
356,Male,Adult (41-60 years),"[1258, 1219, 593, 2762, 2160, 2710, 1395, 1407]","['The Shining (1980)', 'Psycho (1960)', 'Silence of the Lambs (1991)', 'The Sixth Sense (1999)', ""Rosemary's Baby (1968)"", 'The Blair Witch Project (1999)', 'The Omen (1976)', 'Scream (1996)', 'The Babadook (2014)', 'The Conjuring (2013)', 'They have received positive ratings from other users with similar preferences. Enjoy watching!']"
376,Male,Young (21-40 years),"[296, 356, 318, 2959, 1732, 1704, 1682, 2329]","['Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Big Lebowski (1998)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'American History X (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Departed (2006)']"
386,Male,Young (21-40 years),[],[]
460,Male,Adult (41-60 years),"[1265, 2791, 1136, 1517, 3175, 1641, 357, 2302, 235, 1220]","['""Groundhog Day"" (1993)', '""Airplane!"" (1980)', '""Monty Python and the Holy Grail"" (1974)', '""Austin Powers: International Man of Mystery"" (1997)', '""Galaxy Quest"" (1999)', '""The Full Monty"" (1997)', '""Four Weddings and a Funeral"" (1994)', '""My Cousin Vinny"" (1992)', '""Ed Wood"" (1994)', '""Blues Brothers, The"" (1980)']"
476,Male,Young (21-40 years),[],[]
484,Female,Teenager (0-20 years),"[39, 1197, 1682, 2572, 593, 318, 2762]","['Clueless (1995)', 'The Princess Bride (1987)', 'Mean Girls (2004)', 'Legally Blonde (2001)', 'The Truman Show (1998)', '10 Things I Hate About You (1999)', 'The Silence of the Lambs (1991)', ""Bridget Jones's Diary (2001)"", 'The Shawshank Redemption (1994)', 'The Sixth Sense (1999)']"
522,Male,Young (21-40 years),"[589, 480, 1370, 1527, 1210, 1240, 2012]","['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'The Matrix Reloaded (2003)', 'Die Hard 2 (1990)', 'The Fifth Element (1997)', 'Men in Black II (2002)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Independence Day: Resurgence (2016)', 'The Terminator (1984)', 'Back to the Future Part III (1990)']"
526,Male,Adult (41-60 years),"[1036, 541, 318, 296, 1240, 110, 1221, 1208]","['Die Hard (1988)', 'Blade Runner (1982)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Dark Knight (2008)', 'The Terminator (1984)', 'Braveheart (1995)', 'The Matrix (1999)', 'The Godfather: Part II (1974)', 'Apocalypse Now (1979)']"
544,Male,Young (21-40 years),"[364, 260, 1198, 480, 1291, 1197, 1947, 1221, 1035, 912]","['The Lion King (1994)', 'Star Wars: Episode IV - A New Hope (1977)', 'Raiders of the Lost Ark (1981)', 'Jurassic Park (1993)', 'Indiana Jones and the Last Crusade (1989)', 'The Princess Bride (1987)', 'West Side Story (1961)', 'The Godfather: Part II (1974)', 'The Sound of Music (1965)', 'Casablanca (1942)']"
554,Male,Young (21-40 years),"[296, 318, 356, 1213, 858, 2959]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'The Godfather (1972)', 'Inception (2010)', 'The Departed (2006)', 'Fight Club (1999)']"
568,Female,Adult (41-60 years),"[1221, 1198, 1036, 110, 457, 318, 296, 593]","['The Godfather: Part II (1974)', 'Raiders of the Lost Ark (1981)', 'Die Hard (1988)', 'Braveheart (1995)', 'The Fugitive (1993)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Departed (2006)', 'The Bourne Identity (2002)']"
571,Male,Adult (41-60 years),"[541, 2916, 1240, 1036, 2985, 1527, 780, 101]","['Blade Runner (1982)', 'Total Recall (1990)', 'The Terminator (1984)', 'Die Hard (1988)', 'RoboCop (1987)', 'The Matrix Reloaded (2003)', 'Minority Report (2002)', 'The Fifth Element (1997)', 'Independence Day (1996)', 'The Rock (1996)']"
582,Male,Teenager (0-20 years),"[296, 318, 356, 593, 1213, 1682, 3535, 3147, 608, 50]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'Goodfellas (1990)', 'The Truman Show (1998)', 'American Psycho (2000)', 'The Green Mile (1999)', 'Fargo (1996)', 'The Usual Suspects (1995)']"
583,Female,Young (21-40 years),"[318, 356, 1197, 1682, 595, 364, 1035, 1097, 3147, 3114]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Princess Bride (1987)', 'The Truman Show (1998)', 'Beauty and the Beast (1991)', 'The Lion King (1994)', 'The Sound of Music (1965)', 'E.T. the Extra-Terrestrial (1982)', 'The Green Mile (1999)', 'Toy Story 2 (1999)']"
586,Male,Young (21-40 years),"[1240, 2167, 1527, 318, 1036, 480, 296]","['The Terminator (1984)', 'Blade (1998)', 'The Fifth Element (1997)', 'The Shawshank Redemption (1994)', 'Die Hard (1988)', 'The Matrix Reloaded (2003)', 'Jurassic Park (1993)', 'The Dark Knight (2008)', 'Inception (2010)', 'Pulp Fiction (1994)']"
647,Male,Young (21-40 years),[],[]
655,Female,Young (21-40 years),[],[]
703,Female,Adult (41-60 years),"[1221, 296, 1291, 318, 1270, 1036, 1197, 593, 457, 1252]","['The Godfather: Part II (1974)', 'Pulp Fiction (1994)', 'Indiana Jones and the Last Crusade (1989)', 'The Shawshank Redemption (1994)', 'Back to the Future (1985)', 'Die Hard (1988)', 'The Princess Bride (1987)', 'The Silence of the Lambs (1991)', 'The Fugitive (1993)', 'Chinatown (1974)']"
714,Male,Teenager (0-20 years),[],[]
746,Female,Teenager (0-20 years),[],[]
761,Male,Teenager (0-20 years),"[480, 1036, 1527, 1580, 589, 1270, 780, 318]","['The Dark Knight (2008)', 'Inception (2010)', 'Jurassic Park (1993)', 'Die Hard (1988)', 'The Fifth Element (1997)', 'Men in Black (1997)', 'The Terminator 2: Judgment Day (1991)', 'Back to the Future (1985)', 'Independence Day (1996)', 'The Shawshank Redemption (1994)', 'Enjoy watching!']"
769,Male,Adult (41-60 years),"[318, 296, 1221, 1213, 1193, 593, 50, 2959, 3147]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)', 'Goodfellas (1990)', ""One Flew Over the Cuckoo's Nest (1975)"", 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'The Departed (2006)', 'The Green Mile (1999)']"
794,Male,Adult (41-60 years),"[1230, 1307, 1265, 1682, 1784, 676]","['""Annie Hall"" (1977)', '""When Harry Met Sally..."" (1989)', '""The Princess Diaries"" (2001)', '""Groundhog Day"" (1993)', '""The Truman Show"" (1998)', '""As Good as It Gets"" (1997)', '""The Birdcage"" (1996)', '""Little Miss Sunshine"" (2006)', '""The Grand Budapest Hotel"" (2014)', '""Silver Linings Playbook"" (2012)']"
829,Male,Teenager (0-20 years),"[318, 296, 1221, 2959, 593, 50, 1487, 3793, 2762, 2858]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather: Part II (1974)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'Memento (2000)', 'The Sixth Sense (1999)', 'American Beauty (1999)']"
839,Male,Young (21-40 years),[],[]
841,Female,Adult (41-60 years),"[318, 356, 296, 1704, 3147, 2858, 1682, 2762]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Green Mile (1999)', 'American Beauty (1999)', 'The Truman Show (1998)', 'The Sixth Sense (1999)', 'The Departed (2006)', 'Eternal Sunshine of the Spotless Mind (2004)']"
