userId,gender,age_group,recommendations
205,Male,Young (21-40 years),"[1265, 1197, 1198, 296, 593, 2762, 589, 1089]"
218,Male,Young (21-40 years),"[1230, 318, 1682, 1732, 1704, 1265, 356, 1197]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[912, 296, 318, 1221, 1213, 1193, 593, 50, 829]"
841,Female,Adult (41-60 years),"[318, 356, 296, 1682, 3147, 2858, 2762, 1704, 50, 1732]"
915,Male,Young (21-40 years),"[593, 1036, 2762, 589, 1387, 2000, 1258, 110, 457, 480]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[356, 318, 1307, 1682, 1704, 1197, 3147, 1265, 595]"
1798,Male,Adult (41-60 years),"[296, 318, 1213, 1682, 2959, 1732, 50, 1089]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 595, 588, 2081, 3114, 2078, 1197]"
2014,Male,Teenager (0-20 years),"[2791, 1036, 1682, 2716, 296, 318, 2011, 593, 356]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[912, 356, 318, 1230, 1682, 1732, 1265]"
4151,Male,Adult (41-60 years),"[2997, 1235, 39, 1639, 1296, 2000, 3175, 928, 3052, 2959]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),"[2716, 589, 2918, 480, 2571, 541, 1136, 1265, 1270, 1967]"
4851,Male,Teenager (0-20 years),[]
4945,Male,Adult (41-60 years),"[318, 593, 356, 1219, 1221, 1387, 1704, 1997, 1136, 1206]"
5252,Male,Young (21-40 years),"[912, 318, 1221, 527, 296, 593, 1704, 111, 1228, 1189]"
5337,Female,Young (21-40 years),"[1, 1307, 1197, 1265, 595, 1230, 364, 1270, 539, 2081]"
5557,Male,Young (21-40 years),"[356, 1682, 318, 1704, 1732, 1682]"
5879,Male,Young (21-40 years),"[1036, 589, 480, 1258, 1198, 593, 1270, 1387, 1206]"
