userId,gender,age_group,recommendations
205,Male,Young (21-40 years),[]
218,Male,Young (21-40 years),"[1197, 318, 356, 364, 858]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[318, 296, 593, 2023, 2959, 1213]"
841,Female,Adult (41-60 years),"[318, 1, 1968, 593]"
915,Male,Young (21-40 years),"[1408, 480, 296, 110, 356, 2028, 780, 1544, 266, 3578]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[318, 858, 296, 2959, 593, 1213, 356]"
1798,Male,Adult (41-60 years),"[318, 1198, 1, 296]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 318, 858, 296, 1197]"
2014,Male,Teenager (0-20 years),"[318, 296, 858, 593, 1197]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[1197, 2762, 260, 318, 296, 919, 608, 1213, 904, 50]"
4151,Male,Adult (41-60 years),"[1307, 296, 318, 1197, 858, 1732, 593, 2762]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),[]
4851,Male,Teenager (0-20 years),"[318, 356]"
4945,Male,Adult (41-60 years),"[318, 356, 593]"
5252,Male,Young (21-40 years),"[1221, 318, 527, 1193, 608, 1213, 923, 1247, 593, 1252]"
5337,Female,Young (21-40 years),[]
5557,Male,Young (21-40 years),[]
5879,Male,Young (21-40 years),"[1198, 318, 1197, 858, 593]"
