userId,gender,age_group,recommendations
205,Male,Young (21-40 years),[]
218,Male,Young (21-40 years),"[2791, 1198, 318, 1197, 1732, 858, 356, 296]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[318, 296, 593, 2959]"
841,Female,Adult (41-60 years),"[318, 1197, 1, 364]"
915,Male,Young (21-40 years),"[318, 593, 858, 2959]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[3114, 17, 1265, 150, 1408, 1721, 34, 1831, 2501, 261]"
1798,Male,Adult (41-60 years),"[318, 296]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 318, 1197, 858, 2081]"
2014,Male,Teenager (0-20 years),"[318, 296, 858, 2959, 1213, 593, 356]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[318, 858, 593]"
4151,Male,Adult (41-60 years),"[318, 296]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),[]
4851,Male,Teenager (0-20 years),"[318, 3578, 296]"
4945,Male,Adult (41-60 years),"[318, 1682, 1197, 364]"
5252,Male,Young (21-40 years),"[1221, 1193, 1617, 593, 608, 1213, 318, 1203, 246, 953]"
5337,Female,Young (21-40 years),[]
5557,Male,Young (21-40 years),[]
5879,Male,Young (21-40 years),"[1036, 1198, 589, 318]"
