userId,gender,age_group,recommendations
205,Male,Young (21-40 years),"[2791, 1265, 1197, 1198, 296, 318, 593, 858, 2762, 589]"
218,Male,Young (21-40 years),"[356, 318, 1307, 1704, 1682, 1197, 1265, 1732, 3147]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[912, 318, 296, 1221, 593, 527, 50, 1213, 1247, 1198]"
841,Female,Adult (41-60 years),"[356, 318, 296, 3147, 1704, 1682, 2858, 2762]"
915,Male,Young (21-40 years),"[1036, 1258, 2959, 1387, 593, 589, 2762, 480, 110, 457]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[1307, 356, 318, 1265, 1197, 1682, 595, 3147, 1784, 364]"
1798,Male,Adult (41-60 years),"[296, 318, 1213, 1732, 2959, 1682]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 595, 2081, 588, 3114, 2078, 3114]"
2014,Male,Teenager (0-20 years),"[2716, 1036, 1580, 1682, 2011, 356, 296, 318]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[356, 318, 1704, 1265, 1682, 1732, 1230, 953]"
4151,Male,Adult (41-60 years),"[1230, 318, 1307, 356, 1682, 1265, 3147, 1197, 1732]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),"[1307, 1036, 1197, 457, 1265, 1240, 2413, 380, 2000]"
4851,Male,Teenager (0-20 years),"[318, 296, 2959, 356, 1704, 1682, 2028, 3147, 2762]"
4945,Male,Adult (41-60 years),"[318, 296, 593, 1704, 3147, 2762, 1193, 50, 1221]"
5252,Male,Young (21-40 years),"[912, 318, 296, 1221, 527, 1213, 593, 1193, 608]"
5337,Female,Young (21-40 years),"[1307, 1, 1197, 2716, 2081, 1265, 1270, 539, 2918]"
5557,Male,Young (21-40 years),"[1265, 318, 296, 1197, 1, 1221, 1097, 1136, 912]"
5879,Male,Young (21-40 years),"[1036, 480, 589, 318, 457, 1270, 377, 541, 1198]"
