userId,gender,age_group,recommendations
205,Male,Young (21-40 years),[]
218,Male,Young (21-40 years),"[318, 296, 356]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[318, 296, 2959]"
841,Female,Adult (41-60 years),"[318, 356, 364]"
915,Male,Young (21-40 years),"[1036, 318, 2959]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[318, 356, 1197, 1035, 364]"
1798,Male,Adult (41-60 years),"[318, 296, 2959, 3578]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 318, 1197, 858, 296]"
2014,Male,Teenager (0-20 years),"[1270, 260, 1198, 1197, 589, 541, 1080, 2987, 32]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[318, 2959, 858]"
4151,Male,Adult (41-60 years),"[296, 318, 858, 356]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),[]
4851,Male,Teenager (0-20 years),"[2918, 1968, 3190, 2959, 318]"
4945,Male,Adult (41-60 years),"[318, 2959, 50, 593, 3578]"
5252,Male,Young (21-40 years),"[296, 318, 2959, 3578]"
5337,Female,Young (21-40 years),[]
5557,Male,Young (21-40 years),[]
5879,Male,Young (21-40 years),[]
