userId,gender,age_group,recommendations
205,Male,Young (21-40 years),"[608, 1732, 1265, 1197, 296, 318, 1198, 593, 50, 2959]"
218,Male,Young (21-40 years),"[1197, 356, 1265, 1682, 1307, 318, 1732, 296, 1704, 3147]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[912, 318, 296, 1221, 1213, 593, 50, 2959]"
841,Female,Adult (41-60 years),"[318, 356, 296, 3147, 1704, 1682, 593]"
915,Male,Young (21-40 years),"[1036, 593, 1240, 1487, 2959, 318, 296]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[1307, 1197, 356, 318, 3147, 1682, 1265, 1035]"
1798,Male,Adult (41-60 years),"[296, 318, 2959, 1213, 593, 1732, 1089, 50]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 595, 588, 2081, 2078, 3114]"
2014,Male,Teenager (0-20 years),"[296, 318, 2959, 1682, 593, 1240, 1732]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[356, 318, 1704, 1682, 1265, 1732, 3147, 1968, 1246]"
4151,Male,Adult (41-60 years),"[1197, 1230, 1682, 1265, 1247]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),"[1197, 1265, 1270, 2716, 2918, 1580, 2413, 1777, 1517]"
4851,Male,Teenager (0-20 years),"[1682, 2959, 318, 296, 1704, 2028, 3147, 2762, 2329]"
4945,Male,Adult (41-60 years),"[318, 356, 593, 1704, 2762, 2959, 3147, 2858, 1682, 50]"
5252,Male,Young (21-40 years),"[296, 318, 1221, 593, 1213, 111, 1228, 50, 1089, 16]"
5337,Female,Young (21-40 years),"[1307, 1, 1197, 1265, 2081, 1270, 1035, 2716, 595, 39]"
5557,Male,Young (21-40 years),"[1265, 1307, 1197, 1641, 39, 1, 1968, 2918, 676, 1682]"
5879,Male,Young (21-40 years),"[1036, 589, 3527, 480, 110, 457, 318]"
