userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[2791, 2716, 1197, 1270, 2174, 1220, 2918, 2081, 1265, 3868]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",2,"['Airplane! (1980)', 'Ghostbusters (1984)', 'The Princess Bride (1987)', 'Back to the Future (1985)', 'Beetlejuice (1988)', 'The Blues Brothers (1980)', ""Ferris Bueller's Day Off (1986)"", 'The Little Mermaid (1989)', 'Groundhog Day (1993)', 'The Naked Gun: From the Files of Police Squad! (1988)']"
5863,"[593, 1721, 1036, 480, 457, 318, 296, 2762, 2959]","[1617, 2762]",1,"['The Silence of the Lambs (1991)', 'Titanic (1997)', 'Die Hard (1988)', 'Jurassic Park (1993)', 'The Fugitive (1993)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'The Sixth Sense (1999)', 'Fight Club (1999)']"
1799,"[318, 2959, 1213, 50, 1089, 1487, 593, 6, 2329, 1732]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",0,"['The Shawshank Redemption (1994)', 'Fight Club (1999)', 'Goodfellas (1990)', 'The Usual Suspects (1995)', 'Reservoir Dogs (1992)', 'Se7en (1995)', 'The Silence of the Lambs (1991)', 'Heat (1995)', 'American History X (1998)', 'The Big Lebowski (1998)']"
224,"[899, 1197, 1035, 356, 1968, 364, 2918, 1097, 1682, 919]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",2,"[""Singin' in the Rain (1952)"", 'The Princess Bride (1987)', 'The Sound of Music (1965)', 'Forrest Gump (1994)', 'The Breakfast Club (1985)', 'The Lion King (1994)', ""Ferris Bueller's Day Off (1986)"", 'E.T. the Extra-Terrestrial (1982)', 'The Truman Show (1998)', 'The Wizard of Oz (1939)']"
159,"[457, 539, 1036, 2268, 318, 593, 110, 1197, 356]","[3255, 2710, 2683]",0,"['The Fugitive (1993)', 'Sleepless in Seattle (1993)', 'Die Hard (1988)', 'A Few Good Men (1992)', 'The Shawshank Redemption (1994)', 'The Silence of the Lambs (1991)', 'Braveheart (1995)', 'The Princess Bride (1987)', 'The Bourne Identity (2002)', 'Forrest Gump (1994)']"
1177,"[357, 1197, 539, 457, 39, 1682, 364, 1393, 500]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",0,"['Four Weddings and a Funeral (1994)', 'The Princess Bride (1987)', 'Sleepless in Seattle (1993)', 'The Mask (1994)', 'The Fugitive (1993)', 'Clueless (1995)', 'The Truman Show (1998)', 'The Lion King (1994)', 'Jerry Maguire (1996)', 'Mrs. Doubtfire (1993)']"
2156,"[910, 924, 858, 260, 1097, 1270, 1213, 296, 356]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",3,"['Some Like It Hot (1959)', '2001: A Space Odyssey (1968)', 'The Godfather (1972)', 'Star Wars: Episode IV - A New Hope (1977)', 'E.T. the Extra-Terrestrial (1982)', 'Back to the Future (1985)', 'Goodfellas (1990)', 'Pulp Fiction (1994)', 'The Matrix (1999)', 'Forrest Gump (1994)', 'Enjoy watching!']"
886,"[2858, 2599, 3481, 3897, 3598]","[3751, 3328, 3182, 3865, 3783]",0,"['American Beauty (1999)', 'Election (1999)', 'High Fidelity (2000)', 'Almost Famous (2000)', 'Ghost World (2001)', 'Amelie (2001)', 'Lost in Translation (2003)', 'Little Miss Sunshine (2006)', 'Juno (2007)', 'Silver Linings Playbook (2012)']"
3943,"[356, 318, 1682, 3147, 1704, 593, 457, 110, 2762, 2858]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",0,"['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'Good Will Hunting (1997)', 'The Silence of the Lambs (1991)', 'The Fugitive (1993)', 'Braveheart (1995)', 'The Sixth Sense (1999)', 'American Beauty (1999)']"
1672,"[1291, 2716, 1200, 1258, 1036, 1270, 589, 480, 296, 593]","[21, 3114, 110, 518, 2433, 2794, 589]",1,"['Indiana Jones and the Last Crusade (1989)', 'Ghostbusters (1984)', 'Aliens (1986)', 'The Shining (1980)', 'Die Hard (1988)', 'Back to the Future (1985)', 'Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)']"
