userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
817,"[165, 101, 6, 457, 377, 380, 1089, 50, 292, 1552]","[3039, 2053, 2794, 519, 3526, 2083, 1589, 1257, 1378, 1544, 2352, 1339, 1047, 1953, 2231, 2746, 996, 2141, 3261, 1658, 2011, 849, 474, 1500, 1722, 3623, 1249, 2986, 586, 2514, 2248, 3392, 3147, 1304, 2253, 1466, 2408, 1407, 259, 2387, 3608, 1393, 442, 546, 724, 852, 2915, 1584, 6, 3424, 2406, 1644, 3438, 1735, 3448, 2194, 2145, 164, 3444, 435, 2026, 70, 2028, 1197, 1320, 362]",1,"['Die Hard with a Vengeance (1995)', 'The Rock (1996)', 'Heat (1995)', 'The Fugitive (1993)', 'Speed (1994)', 'True Lies (1994)', 'Reservoir Dogs (1992)', 'The Usual Suspects (1995)', 'Point Break (1991)', 'Con Air (1997)']"
4302,"[1307, 1265, 597, 539, 2671, 1784, 1393, 1569, 1777, 1682]","[2791, 1363, 920, 3361, 2065, 1682, 3418, 2953, 1956, 1213, 1376, 1747, 2420, 494, 3262, 3422, 1259, 2146, 1465, 1674, 1968, 150, 32, 2463, 1196, 3260, 2736, 1610, 2717, 2423, 2470, 349, 2942, 2371, 2243, 1672, 1909, 45, 1092]",1,"['When Harry Met Sally... (1989)', 'Groundhog Day (1993)', 'Pretty Woman (1990)', 'Sleepless in Seattle (1993)', 'Notting Hill (1999)', 'As Good as It Gets (1997)', 'Jerry Maguire (1996)', ""My Best Friend's Wedding (1997)"", 'The Wedding Singer (1998)', 'The Truman Show (1998)']"
326,"[1307, 1265, 356, 1682, 1784, 1197, 1704, 1569, 2671, 539]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",1,"['When Harry Met Sally... (1989)', 'Groundhog Day (1993)', 'Forrest Gump (1994)', 'The Truman Show (1998)', 'As Good as It Gets (1997)', 'The Princess Bride (1987)', 'Good Will Hunting (1997)', ""My Best Friend's Wedding (1997)"", 'Notting Hill (1999)', 'Sleepless in Seattle (1993)']"
4741,"[318, 6, 1089, 16, 1732, 3898, 2542]","[922, 904, 541]",0,"['The Shawshank Redemption (1994)', 'Heat (1995)', 'Reservoir Dogs (1992)', 'Casino (1995)', 'The Big Lebowski (1998)', 'Snatch (2000)', 'Lock, Stock and Two Smoking Barrels (1998)', 'In Bruges (2008)', 'Kiss Kiss Bang Bang (2005)', 'The Nice Guys (2016)']"
3858,"[1, 364, 595, 588, 2081, 1907]","[1136, 892, 2057, 711, 1654, 158, 1955, 1197, 3175, 2987, 2942, 1235, 3157, 2140, 1204, 1380, 2067, 3635, 3099, 1947, 2406, 2080]",0,"['Toy Story (1995)', 'The Lion King (1994)', 'Shrek (2001)', 'Finding Nemo (2003)', 'Beauty and the Beast (1991)', 'Aladdin (1992)', 'The Little Mermaid (1989)', 'Mulan (1998)', 'The Incredibles (2004)', 'Monsters, Inc. (2001)']"
5163,"[1208, 2028, 527, 1222, 1090, 1263, 1272, 1250, 2268]","[1722, 2671, 3070, 2646, 858, 1592, 1894, 1270, 2011, 905, 587, 2746, 1459, 2747, 1376, 1614, 2694, 1213, 2966, 1937, 1688, 1334, 2779, 224, 3061, 1958, 1278, 1358, 2418, 1234, 1032, 945, 866, 39, 2792, 1953, 52, 1054, 2860, 1225, 1208, 2001, 901, 3706, 2424, 3591, 597, 48, 2805, 1219, 497, 448, 1440, 3082, 1196, 1185, 2015, 367, 852, 1010, 1372, 1, 3527, 1171, 2653]",1,"['Apocalypse Now (1979)', 'Saving Private Ryan (1998)', ""Schindler's List (1993)"", 'Full Metal Jacket (1987)', 'Platoon (1986)', 'The Deer Hunter (1978)', 'Patton (1970)', 'Das Boot (1981)', 'The Bridge on the River Kwai (1957)', 'A Few Good Men (1992)']"
231,"[2174, 551, 2716, 2003, 2124, 2291, 1197, 2413, 2797, 586]","[2987, 720, 541, 1200, 1653, 3873, 1387, 1089, 904, 1394]",0,"['Beetlejuice (1988)', 'The Nightmare Before Christmas (1993)', 'Ghostbusters (1984)', 'Gremlins (1984)', 'The Addams Family (1991)', 'Edward Scissorhands (1990)', 'The Princess Bride (1987)', 'Clue (1985)', 'Big (1988)', 'Home Alone (1990)']"
4779,"[318, 296, 593, 1213, 608, 1732, 1682, 2858, 2762, 2959]","[1259, 34, 3019, 1272, 971, 2067, 527, 1225, 1387, 3844, 541, 3827, 2019, 1252, 2973, 902, 1208, 3468, 2946, 1103, 906, 1950, 3134, 3606, 1278, 3037, 594, 910, 2130, 260, 3068, 3366, 235, 1234, 2871, 2064]",0,"['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Silence of the Lambs"" (1991)', '""Goodfellas"" (1990)', '""Fargo"" (1996)', '""The Big Lebowski"" (1998)', '""The Truman Show"" (1998)', '""American Beauty"" (1999)', '""The Sixth Sense"" (1999)', '""Fight Club"" (1999)']"
3732,"[904, 910, 913, 829, 908, 1207, 1247, 1252]","[1207, 1238, 1387, 954, 1203, 3363, 3070, 3196, 2973, 1247, 858, 1760, 3158, 1288, 913, 2396, 1213, 1284, 3489, 1196, 2857, 1265, 1250, 1244, 3675, 3467, 1028, 908, 2132, 25, 916, 2728, 1233, 1333, 1945, 969, 2014, 348]",4,"['Rear Window (1954)', 'Sunset Boulevard (1950)', 'Some Like It Hot (1959)', 'The Maltese Falcon (1941)', 'The Apartment (1960)', 'North by Northwest (1959)', 'To Kill a Mockingbird (1962)', 'The Graduate (1967)', 'Chinatown (1974)', 'The Sting (1973)']"
610,"[541, 1198, 1240, 480, 1036, 2716, 2916, 1527, 1580]","[1, 173, 1374, 2664, 3114, 2352, 1097, 3033, 1320, 1584, 1304, 1221, 1527, 1136, 480, 1224, 3702, 3421, 3683, 2918, 3703, 3868, 3450]",2,"['Blade Runner (1982)', 'Raiders of the Lost Ark (1981)', 'The Terminator (1984)', 'Jurassic Park (1993)', 'Die Hard (1988)', 'The Matrix (1999)', 'Ghostbusters (1984)', 'Total Recall (1990)', 'The Fifth Element (1997)', 'Men in Black (1997)', 'Enjoy watching!']"
716,"[595, 588, 1, 1907, 364, 1566, 2687, 48, 2081, 1688]","[2253, 709, 449, 1261, 1580, 356, 1969, 1127, 1647, 1, 3386, 2470, 1866, 2137, 1004, 2355, 1291, 1552, 2093, 2858, 2280, 517, 1663, 741, 480, 1266, 2028, 3527, 3948, 3578, 1544, 2105, 3802, 1270, 1092, 1175, 3275, 1921, 996, 32, 494, 3328, 2231, 225, 2826, 511, 2399, 224, 2791, 1205, 3502, 736, 2990]",1,"['Beauty and the Beast (1991)', 'Aladdin (1992)', 'Toy Story (1995)', 'Mulan (1998)', 'The Lion King (1994)', 'Hercules (1997)', 'Tarzan (1999)', 'Pocahontas (1995)', 'The Little Mermaid (1989)', 'Anastasia (1997)']"
4033,"[318, 296, 1213, 593, 608, 1682, 1487, 2762, 2858, 50]","[2020, 2253, 198, 2706, 1663, 2194, 1037, 786, 427, 194, 552, 3114, 3260, 3538, 1747, 2374, 428, 315, 266, 2889, 350, 2144, 3536, 1213, 707, 1797, 2518, 1370, 1378, 3331, 1833, 2763, 1172, 1222, 2699, 2081, 272, 1377, 3256, 3020, 2111, 3105, 1225, 2561, 141, 767, 292, 2822, 3478, 3689, 2381, 490, 1199, 3033, 3763, 1552, 3744, 216, 11, 2976, 3793, 2472, 1918, 1895, 372, 1748, 1036, 2396, 2288, 2002, 1, 2433, 1357, 2463, 2605, 539, 3042, 2797, 3249, 1191, 1564, 2990, 2598, 1680, 1266, 2420, 3342, 2759, 1101, 3141, 1779, 2447, 2028, 25, 2041, 3438, 356, 185, 3844, 2457, 3326]",1,"['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Fargo (1996)', 'The Truman Show (1998)', 'Se7en (1995)', 'The Sixth Sense (1999)', 'American Beauty (1999)', 'The Usual Suspects (1995)', 'Enjoy watching!']"
